             name              | avg_price | price_rank 
 Christinabury Park            |   1876477 |         60
 Jacksonberg Estates           |   1874169 |         61
 South Elizabethland Village   |   1873354 |         62
 Thomaschester Village         |   1873062 |         63
 New Jordan Estates            |   1872443 |         64
 East Thomasside Bay           |   1870953 |         65
 West John Park                |   1866186 |         66
 South Stacy Gardens           |   1865283 |         67
 Sherryport Gardens            |   1864248 |         68
 Jessicaview Village           |   1856985 |         69
 Port Jenniferview Village     |   1855807 |         70
 New Kimberlyview Estates      |   1855254 |         71
 Brianfurt Gardens             |   1854613 |         72
 South Sheilamouth Heights     |   1853920 |         73
 East Andrea Gardens           |   1852059 |         74
 Thomasbury Gardens            |   1851398 |         75
 South Jessicaberg Estates     |   1850111 |         76
 Thomasmouth Gardens           |   1849066 |         77
 Lorifort Gardens              |   1848336 |         78
 Wilcoxview Heights            |   1842145 |         79
 Lake Daniellestad Park        |   1841076 |         80
 New Christopherland Heights   |   1840765 |         81
 Micheletown Village           |   1840742 |         82
 North Ericport Gardens        |   1839270 |         83
 South Elizabeth Ridge         |   1838679 |         84
 Sethtown Village              |   1837476 |         85
 Turnerfurt Bay                |   1836551 |         86
 Wilkersonberg Heights         |   1833583 |         87
 Bradfordton Gardens           |   1831299 |         88
 New Michael Estates           |   1830300 |         89
 Moniqueport Gardens           |   1829829 |         90
 Lake Christieburgh Gardens    |   1829428 |         91
 East Williamfurt Village      |   1829203 |         92
 West Michaelbury Park         |   1826973 |         93
 Juanside Gardens              |   1819848 |         94
 West Matthewfurt Ridge        |   1813939 |         95
 Tonyview Heights              |   1812898 |         96
 Lake Brian Bay                |   1811393 |         97
 North Daltonfurt Estates      |   1809114 |         98
 Jermaineshire Park            |   1808246 |         99
 Clementsville Ridge           |   1807862 |        100
 Lake Chrisview Heights        |   1804648 |        101
 Maryfort Park                 |   1802370 |        102
 South Juan Estates            |   1800583 |        103
 New Jamie Village             |   1799960 |        104
 Guzmanhaven Bay               |   1798809 |        105
 Kristineville Ridge           |   1798434 |        106
 Joneston Gardens              |   1798314 |        107
 West Debraberg Park           |   1795484 |        108
 New Samantha Bay              |   1789551 |        109
 Jamesview Park                |   1789004 |        110
 Eileenchester Gardens         |   1788361 |        111
 Hendersonmouth Ridge          |   1786810 |        112
 Port Elizabeth Estates        |   1785291 |        113
 East Jason Park               |   1785258 |        114
 Williamsstad Heights          |   1783826 |        115
 Barrettville Heights          |   1781490 |        116
 Derrickmouth Park             |   1781277 |        117
 Lake Kristineburgh Heights    |   1781248 |        118
 West Francisco Heights        |   1781161 |        119
 Staceyville Bay               |   1778812 |        120
 West Christophershire Estates |   1777744 |        121
 Leslieville Ridge             |   1776580 |        122
 South William Heights         |   1774179 |        123
 Lake Suzanne Bay              |   1772449 |        124
 East Andrewmouth Estates      |   1771737 |        125
 North Kevinfurt Bay           |   1771159 |        126
 Lake Laurabury Estates        |   1769097 |        127
 Jonesborough Village          |   1767300 |        128
 Port Jillborough Ridge        |   1766708 |        129
 South Matthewfurt Park        |   1764630 |        130
 Smithtown Ridge               |   1763483 |        131
 South Chase Ridge             |   1759155 |        132
 East Jerryhaven Bay           |   1754888 |        133
 Villegasshire Ridge           |   1753447 |        134
 Port Dominiquemouth Ridge     |   1753289 |        135
 Port Ellenstad Park           |   1752359 |        136
 New Jamieville Village        |   1750628 |        137
 New Lukeville Gardens         |   1749126 |        138
 Josephstad Heights            |   1743167 |        139
 East John Estates             |   1739540 |        140
 Bryanchester Park             |   1738646 |        141
 South Jason Gardens           |   1737009 |        142
 East Ashley Village           |   1736314 |        143
 South Tara Village            |   1733690 |        144
 Floydhaven Gardens            |   1732412 |        145
 Port Monica Estates           |   1731713 |        146
 North Erin Village            |   1731062 |        147
 Nicholasbury Gardens          |   1730588 |        148
 North Priscilla Ridge         |   1728631 |        149
 South Benjaminshire Ridge     |   1728201 |        150
 Christinaside Ridge           |   1726966 |        151
 West James Estates            |   1725902 |        152
 Dustinmouth Gardens           |   1725775 |        153
 North Joshua Gardens          |   1723786 |        154
 Lake Georgehaven Estates      |   1722725 |        155
 New Adam Bay                  |   1722634 |        156
 Lake Kyle Estates             |   1721923 |        157
 Lake Karenside Park           |   1711883 |        158
 Benjaminshire Heights         |   1711334 |        159
 New Christopherhaven Ridge    |   1710109 |        160
 Alejandroland Ridge           |   1709353 |        161
 South Sabrina Heights         |   1707416 |        162
 East Erinchester Bay          |   1703798 |        163
 West Cynthiabury Park         |   1703122 |        164
 Stephensonborough Heights     |   1699224 |        165
 North Jennifer Estates        |   1696957 |        166
 West John Gardens             |   1696359 |        167
 Jaytown Estates               |   1696100 |        168
 Mathisfurt Gardens            |   1693880 |        169
 Lake Ashlee Park              |   1691999 |        170
 New Tina Village              |   1691641 |        171
 Jeromefurt Village            |   1691477 |        172
 West Cindymouth Ridge         |   1690062 |        173
 Lake Julie Ridge              |   1687034 |        174
 Jenniferside Bay              |   1685868 |        175
 West Peggymouth Heights       |   1685481 |        176
 Lewisview Village             |   1684495 |        177
 Jenniferstad Bay              |   1684316 |        178
 West Andrew Bay               |   1684133 |        179
 Natalieborough Bay            |   1678708 |        180
 Waynehaven Bay                |   1676968 |        181
 Matthewmouth Bay              |   1676320 |        182
 Port Williamville Ridge       |   1676132 |        183
 East Rebeccamouth Gardens     |   1675895 |        184
 North Don Village             |   1675824 |        185
 West Thomasview Gardens       |   1675124 |        186
 Johnhaven Ridge               |   1674805 |        187
 West Jordanburgh Park         |   1672511 |        188
 Ruizstad Estates              |   1672197 |        189
 North Katrinashire Heights    |   1671118 |        190
 North Jodiland Estates        |   1668908 |        191
 Marymouth Park                |   1667203 |        192
 Robertsonbury Gardens         |   1666406 |        193
 Port Gerald Estates           |   1663866 |        194
 Laurenmouth Heights           |   1661297 |        195
 North Leeborough Estates      |   1661027 |        196
 Tinafort Ridge                |   1660003 |        197
 Port Johnborough Estates      |   1659552 |        198
 Port Zacharyshire Bay         |   1659117 |        199
 East Christian Bay            |   1658179 |        200
 Loriport Park                 |   1658078 |        201
 Kristenland Bay               |   1657279 |        202
 North Stephanie Bay           |   1656662 |        203
 Fostermouth Estates           |   1655439 |        204
 North Richardshire Bay        |   1653617 |        205
 Danielborough Gardens         |   1652740 |        206
 North Davidbury Village       |   1652268 |        207
 Johnsonside Village           |   1651520 |        208
 Garciaburgh Ridge             |   1650783 |        209
 Lake Jamie Park               |   1650731 |        210
 Michaelport Ridge             |   1649453 |        211
 Lake Nancy Ridge              |   1649198 |        212
 Lake Robin Ridge              |   1648840 |        213
 Keithshire Park               |   1647911 |        214
 South Michelleshire Ridge     |   1646364 |        215
 Matthewburgh Heights          |   1645875 |        216
 New Martinland Park           |   1645684 |        217
 New Kevinfort Bay             |   1645093 |        218
 West Jeremyburgh Village      |   1642626 |        219
 Kaitlynhaven Park             |   1641470 |        220
 Aaronmouth Park               |   1641380 |        221
 East Noah Estates             |   1640947 |        222
 Fullerview Ridge              |   1640873 |        223
 Terryburgh Ridge              |   1639562 |        224
 Kevinview Heights             |   1639175 |        225
 Jaredbury Estates             |   1638863 |        226
 Stevenmouth Gardens           |   1638508 |        227
 Jenniferview Village          |   1637892 |        228
 Donaldmouth Estates           |   1632246 |        229
 North Sharonshire Heights     |   1630294 |        230
 West Jenniferport Village     |   1629353 |        231
 North Ericshire Gardens       |   1625800 |        232
 North Karlaborough Heights    |   1625466 |        233
 Lake David Estates            |   1624818 |        234
 Willieport Park               |   1624249 |        235
 Port Reginahaven Village      |   1623280 |        236
 New Michaelbury Park          |   1622608 |        237
 Port Kimberly Park            |   1620753 |        238
 Schultzborough Gardens        |   1620496 |        239
 New Theresa Village           |   1619979 |        240
 Jessicastad Gardens           |   1618509 |        241
 North Thomashaven Ridge       |   1615746 |        242
 Rodriguezstad Bay             |   1615174 |        243
 Dianaton Village              |   1612661 |        244
 East Mariamouth Gardens       |   1612040 |        245
 Coxport Bay                   |   1611176 |        246
 Lake Patriciachester Heights  |   1609535 |        247
 East Baileyburgh Bay          |   1604363 |        248
 Angelicamouth Estates         |   1604148 |        249
 Port Justinhaven Park         |   1603170 |        250
 Lake Jamiefurt Heights        |   1601379 |        251
 Gonzalezborough Estates       |   1599525 |        252
 Lake Johnny Heights           |   1596436 |        253
 Port Davidshire Village       |   1594147 |        254
 Lindamouth Ridge              |   1593541 |        255
 East Brianhaven Park          |   1592644 |        256
 Lopezville Ridge              |   1592411 |        257
 Thomasmouth Park              |   1592106 |        258
 Jamiebury Heights             |   1591548 |        259
 Donnaberg Bay                 |   1590081 |        260
 South Thomasberg Gardens      |   1586190 |        261
 Fernandoshire Park            |   1584808 |        262
 Stevensonview Bay             |   1583738 |        263
 Julietown Gardens             |   1583535 |        264
 Port Annaton Heights          |   1582462 |        265
 Vanessafort Village           |   1578102 |        266
 Jonathonville Park            |   1577640 |        267
 Richardton Bay                |   1577129 |        268
 Maryfurt Ridge                |   1577083 |        269
 New Lisaport Village          |   1576059 |        270
 Meganmouth Ridge              |   1575749 |        271
 Jessicahaven Park             |   1573787 |        272
 West Kyle Heights             |   1573176 |        273
 Lake Erinfurt Estates         |   1573042 |        274
 Port Emily Village            |   1573025 |        275
 South Kimmouth Gardens        |   1571363 |        276
 West Paul Ridge               |   1570840 |        277
 Millerton Village             |   1570699 |        278
 East Catherine Ridge          |   1569089 |        279
 North Christopherbury Park    |   1568541 |        280
 West April Heights            |   1568216 |        281
 South Christine Bay           |   1568117 |        282
 Leeshire Bay                  |   1567796 |        283
 Derekton Park                 |   1566438 |        284
 New Nicoleborough Ridge       |   1566409 |        285
 North Jillian Park            |   1565827 |        286
 Jeffreytown Estates           |   1564894 |        287
 New Steven Village            |   1564428 |        288
 Natalietown Heights           |   1564369 |        289
 South Mary Gardens            |   1564358 |        290
 East Robin Bay                |   1563781 |        291
 Holmesburgh Village           |   1563605 |        292
 Jacobhaven Bay                |   1563345 |        293
 Karenshire Village            |   1563096 |        294
 Lake Evanville Park           |   1562629 |        295
 Duanemouth Bay                |   1562245 |        296
 Gibsonmouth Park              |   1560942 |        297
 Serranochester Bay            |   1559290 |        298
 Amandaville Heights           |   1558383 |        299
 South Kevinfort Ridge         |   1557983 |        300
 Port Rebecca Estates          |   1556100 |        301
 Cynthiaview Park              |   1556036 |        302
 Mitchellland Gardens          |   1555736 |        303
 Armstrongfurt Bay             |   1554504 |        304
 Lake Lindseyburgh Ridge       |   1554242 |        305
 Pattersonville Estates        |   1553394 |        306
 Penastad Bay                  |   1553313 |        307
 Floresfort Village            |   1552349 |        308
 North Glennton Village        |   1552241 |        309
 West William Bay              |   1550609 |        310
 West Michaelfort Bay          |   1549557 |        311
 Beckmouth Heights             |   1549536 |        312
 Rhondahaven Estates           |   1548866 |        313
 New Ronaldmouth Estates       |   1546108 |        314
 New Dean Heights              |   1544112 |        315
 North Nicolechester Heights   |   1542292 |        316
 Cherylberg Bay                |   1541308 |        317
 North Madison Estates         |   1541082 |        318
 Bellburgh Bay                 |   1541061 |        319
 Taylormouth Gardens           |   1540696 |        320
 Samanthaport Bay              |   1540458 |        321
 South Jonathan Ridge          |   1537924 |        322
 North Michael Bay             |   1537457 |        323
 West Michael Gardens          |   1536296 |        324
 East Joshua Village           |   1533937 |        325
 Thomaschester Ridge           |   1531403 |        326
 Tammyberg Bay                 |   1530030 |        327
 Port Natashahaven Village     |   1529683 |        328
 South Alanview Estates        |   1529507 |        329
 Hernandezstad Estates         |   1529132 |        330
 South Katherinefurt Park      |   1528860 |        331
 New Caseyton Gardens          |   1526792 |        332
 Kennethtown Park              |   1526693 |        333
 Barnesshire Park              |   1526458 |        334
 New Meredithburgh Village     |   1525300 |        335
 East Frederickland Bay        |   1525104 |        336
 Xavierstad Park               |   1523441 |        337
 East Angelaport Heights       |   1523405 |        338
 Hineschester Ridge            |   1523217 |        339
 Lopezton Heights              |   1520850 |        340
 Dannyville Heights            |   1520231 |        341
 North Julie Park              |   1520147 |        342
 Robertsmouth Park             |   1518245 |        343
 Port Nancy Heights            |   1516483 |        344
 New Marilynburgh Gardens      |   1515290 |        345
 South Wesleyfurt Gardens      |   1513127 |        346
 South Terry Bay               |   1513055 |        347
 South Jamesborough Park       |   1512566 |        348
 Michaelport Gardens           |   1510769 |        349
 South Robertborough Gardens   |   1510642 |        350
 Caldwellhaven Bay             |   1509885 |        351
 Lake Ryanbury Ridge           |   1509158 |        352
 Milesside Village             |   1507854 |        353
 New Leslieberg Ridge          |   1507603 |        354
 Smithborough Gardens          |   1506920 |        355
 Rodneymouth Heights           |   1504167 |        356
 Angelaview Estates            |   1503731 |        357
 Leeburgh Village              |   1503087 |        358
 Lake Cliffordstad Heights     |   1499543 |        359
 North Sarah Heights           |   1496704 |        360
 Carterfurt Park               |   1496459 |        361
 Jamesmouth Village            |   1496114 |        362
 North Theresatown Ridge       |   1495274 |        363
 North Stevenview Heights      |   1494835 |        364
 West Tracymouth Heights       |   1494806 |        365
 North Wendyshire Park         |   1494466 |        366
 Jacobstown Park               |   1493329 |        367
 Tiffanyberg Bay               |   1492707 |        368
 North Sarah Park              |   1491772 |        369
 Melissabury Bay               |   1489407 |        370
 North Thomasberg Bay          |   1489120 |        371
 Thompsonland Park             |   1488239 |        372
 Ericashire Park               |   1485056 |        373
 West Travismouth Ridge        |   1484816 |        374
 Vanessaburgh Estates          |   1484253 |        375
 South Davidchester Estates    |   1483691 |        376
 Brianhaven Heights            |   1482850 |        377
 Port Yvonneview Bay           |   1482417 |        378
 Port Tyronefurt Bay           |   1482130 |        379
 Debrabury Heights             |   1481964 |        380
 Elizabethfort Bay             |   1481919 |        381
 Nelsonville Bay               |   1481893 |        382
 Johnchester Ridge             |   1481428 |        383
 Dillonfort Park               |   1481317 |        384
 East Robert Estates           |   1477615 |        385
 Pattyfort Estates             |   1476328 |        386
 Darrellside Ridge             |   1475982 |        387
 New Todd Park                 |   1475287 |        388
 Anthonyport Park              |   1475166 |        389
 New Jeremybury Ridge          |   1474460 |        390
 Grayport Heights              |   1474032 |        391
 West Terri Estates            |   1473819 |        392
 New Jason Ridge               |   1473774 |        393
 South Henry Bay               |   1471460 |        394
 North Rachel Village          |   1471100 |        395
 Lake Joshua Park              |   1470906 |        396
 Jessicamouth Ridge            |   1470085 |        397
 Brooksbury Bay                |   1469014 |        398
 South Danielle Heights        |   1467941 |        399
 Rhodesfurt Village            |   1467008 |        400
 Bellport Park                 |   1466915 |        401
 New Heatherview Park          |   1466308 |        402
 East Dawn Village             |   1463287 |        403
 Robertport Bay                |   1462718 |        404
 Lake Kenneth Park             |   1457844 |        405
 Scottland Village             |   1457097 |        406
 West Brian Ridge              |   1455005 |        407
 New Mary Village              |   1453709 |        408
 North Alexandriaton Gardens   |   1453573 |        409
 Ruthstad Village              |   1453559 |        410
 Baileyport Gardens            |   1453316 |        411
 Lake Virginia Village         |   1451611 |        412
 West Andrea Ridge             |   1451172 |        413
 Keithton Bay                  |   1448461 |        414
 Lake Michelle Estates         |   1446091 |        415
 Normanhaven Heights           |   1445484 |        416
 Lake William Village          |   1444035 |        417
 South Cindy Gardens           |   1443231 |        418
 West Kevin Village            |   1441844 |        419
 Meyersbury Gardens            |   1441363 |        420
 Brianshire Heights            |   1440971 |        421
 East Derrick Ridge            |   1440707 |        422
 Morganberg Park               |   1439686 |        423
 South Jasontown Park          |   1439396 |        424
 Stevenfurt Village            |   1438879 |        425
 Scottland Park                |   1438434 |        426
 Johnsonfort Gardens           |   1436052 |        427
 West Danielle Estates         |   1435675 |        428
 Kevinfurt Gardens             |   1434980 |        429
 Taraview Village              |   1434233 |        430
 Owenville Ridge               |   1433552 |        431
 Boylefort Park                |   1433333 |        432
 South Laurabury Bay           |   1433190 |        433
 Stevensmouth Estates          |   1431632 |        434
 Juarezland Estates            |   1431466 |        435
 North Antonioburgh Estates    |   1430869 |        436
 Joshuamouth Park              |   1428745 |        437
 Rodriguezton Bay              |   1426487 |        438
 West Charles Estates          |   1426341 |        439
 Martinfort Village            |   1426028 |        440
 Devinstad Heights             |   1420568 |        441
 West Brendaberg Village       |   1419804 |        442
 Port Jennifer Bay             |   1419015 |        443
 Jonathanshire Heights         |   1416492 |        444
 East Barry Village            |   1415340 |        445
 Wrightmouth Bay               |   1414419 |        446
 Lake Kimberly Bay             |   1414256 |        447
 Charleshaven Estates          |   1414164 |        448
 South Danielstad Heights      |   1414133 |        449
 Mayofort Park                 |   1413865 |        450
 Staffordmouth Gardens         |   1413381 |        451
 West James Heights            |   1413360 |        452
 Rachaelfort Village           |   1412725 |        453
 Amyhaven Village              |   1412495 |        454
 Port Ashleyfort Heights       |   1412014 |        455
 Port Curtis Gardens           |   1411358 |        456
 South Dominic Ridge           |   1410637 |        457
 Andrewside Village            |   1407631 |        458
 Danielstad Village            |   1407211 |        459
 Rileyland Heights             |   1407035 |        460
 Gallagherberg Bay             |   1406569 |        461
 Collinsburgh Ridge            |   1405503 |        462
 New Nathaniel Heights         |   1405023 |        463
 Christinamouth Bay            |   1404884 |        464
 Timothyfurt Bay               |   1404401 |        465
 Lake Philipfort Bay           |   1404142 |        466
 Garciamouth Heights           |   1403783 |        467
 Joelside Village              |   1403661 |        468
 Vancebury Ridge               |   1403138 |        469
 West Annetteberg Bay          |   1401557 |        470
 West Madison Gardens          |   1401090 |        471
 Patrickland Park              |   1400577 |        472
 East Alyssa Heights           |   1399795 |        473
 Mannmouth Estates             |   1398367 |        474
 Boydmouth Village             |   1397410 |        475
 Lake Samuelland Bay           |   1397209 |        476
 Elainefurt Estates            |   1397143 |        477
 Lisaport Gardens              |   1393371 |        478
 West Ericview Estates         |   1391268 |        479
 Johntown Heights              |   1391250 |        480
 East Debbie Gardens           |   1390431 |        481
 West Donaldburgh Ridge        |   1389594 |        482
 South Kelseyville Park        |   1388771 |        483
 Charlesland Estates           |   1388211 |        484
 Snyderville Heights           |   1387319 |        485
 Kerriside Gardens             |   1385167 |        486
 Webbberg Village              |   1384431 |        487
 Port Luiston Bay              |   1384290 |        488
 Phillipsfort Ridge            |   1382147 |        489
 South Alyssashire Gardens     |   1381982 |        490
 South Edwardstad Park         |   1381690 |        491
 Hodgesburgh Estates           |   1381320 |        492
 Markstad Village              |   1381285 |        493
 Lake Jimmyshire Bay           |   1381201 |        494
 Robertsontown Heights         |   1378946 |        495
 South Robinmouth Village      |   1378539 |        496
 Joseburgh Estates             |   1376199 |        497
 South James Gardens           |   1375611 |        498
 Dennismouth Ridge             |   1373717 |        499
 West Davidshire Bay           |   1372648 |        500
 Lake Sophia Heights           |   1370537 |        501
 Mooreton Gardens              |   1369270 |        502
 North Rachel Park             |   1368793 |        503
 Bishopmouth Estates           |   1366605 |        504
 West Kristiport Village       |   1365171 |        505
 Wrightburgh Heights           |   1365074 |        506
 New Mariaberg Estates         |   1364682 |        507
 East Jenniferchester Estates  |   1363630 |        508
 Mirandaville Heights          |   1361033 |        509
 Ashleyfurt Gardens            |   1359730 |        510
 Lake Chelseamouth Estates     |   1358121 |        511
 Nathanielfurt Bay             |   1357396 |        512
 North Eileenburgh Park        |   1356859 |        513
 East John Heights             |   1356777 |        514
 Parkerhaven Park              |   1356736 |        515
 Port Zacharyfurt Estates      |   1354211 |        516
 East Andreashire Village      |   1353842 |        517
 Smithbury Village             |   1352890 |        518
 Lake Deannafurt Heights       |   1352821 |        519
 West Tiffanyhaven Gardens     |   1352459 |        520
 West Michelemouth Bay         |   1352103 |        521
 West Brandyville Gardens      |   1350851 |        522
 Port Vanessa Bay              |   1349911 |        523
 South Angela Ridge            |   1349793 |        524
 Port Marie Estates            |   1349756 |        525
 Thomasport Park               |   1348656 |        526
 North Jennifer Heights        |   1348465 |        527
 West Michellemouth Ridge      |   1348263 |        528
 East Corey Village            |   1348114 |        529
 Saraview Park                 |   1347896 |        530
 Kristietown Estates           |   1347513 |        531
 Youngville Estates            |   1344241 |        532
 New Sheena Village            |   1343395 |        533
 New Gabrieltown Estates       |   1343302 |        534
 Kristenton Bay                |   1343221 |        535
 North Johnburgh Ridge         |   1341844 |        536
 Cooperside Estates            |   1341208 |        537
 Elizabethmouth Village        |   1341000 |        538
 Melissamouth Park             |   1340783 |        539
 Ruthborough Bay               |   1340372 |        540
 East Brandonville Gardens     |   1339480 |        541
 Rebeccafort Park              |   1337458 |        542
 Lisaport Ridge                |   1337013 |        543
 Jamiehaven Bay                |   1336897 |        544
 Sotoberg Gardens              |   1336335 |        545
 East George Village           |   1336245 |        546
 Ginashire Village             |   1334997 |        547
 Matthewside Gardens           |   1333029 |        548
 Wrightport Heights            |   1332749 |        549
 Port Nathanhaven Gardens      |   1332556 |        550
 New Christianville Estates    |   1330311 |        551
 Davidmouth Park               |   1329151 |        552
 North Richard Estates         |   1326539 |        553
 Sarahchester Bay              |   1325804 |        554
 Catherinehaven Gardens        |   1325504 |        555
 North Philipfort Estates      |   1325001 |        556
 Taylorhaven Park              |   1324167 |        557
 Lake Trevorhaven Heights      |   1324166 |        558
 Dayport Estates               |   1324056 |        559
 Port Stevetown Gardens        |   1323810 |        560
 Lake Richard Gardens          |   1323260 |        561
 East Caleb Ridge              |   1321972 |        562
 Mclaughlinview Bay            |   1321454 |        563
 Port Krystal Bay              |   1319829 |        564
 Lake William Heights          |   1319775 |        565
 North Craig Heights           |   1319418 |        566
 Lorishire Ridge               |   1319324 |        567
 New Seth Ridge                |   1318241 |        568
 Lake Katherine Ridge          |   1318213 |        569
 New Ian Park                  |   1318165 |        570
 South Nicholas Heights        |   1315992 |        571
 Hallmouth Park                |   1315799 |        572
 Robbinsside Village           |   1315422 |        573
 West Debra Park               |   1314657 |        574
 Davidburgh Village            |   1314564 |        575
 Glenborough Heights           |   1311845 |        576
 Sarahfort Gardens             |   1311343 |        577
 East Katherine Park           |   1311032 |        578
 Saraland Village              |   1310631 |        579
 Timothybury Heights           |   1310518 |        580
 Simpsonmouth Park             |   1309622 |        581
 Blaketon Bay                  |   1308690 |        582
 Port Kellychester Gardens     |   1305508 |        583
 Monroestad Gardens            |   1304666 |        584
 Marvinport Ridge              |   1304511 |        585
 East Melissa Park             |   1303472 |        586
 Lake Christinaton Heights     |   1303373 |        587
 New William Estates           |   1302657 |        588
 Jamesview Gardens             |   1300527 |        589
 New Micheleborough Village    |   1300466 |        590
 East Josephchester Village    |   1299619 |        591
 Henryberg Ridge               |   1298832 |        592
 Angelatown Gardens            |   1298641 |        593
 Christinestad Village         |   1296297 |        594
 Thomasbury Ridge              |   1294792 |        595
 West William Heights          |   1293211 |        596
 Richardview Estates           |   1292962 |        597
 East Cindyburgh Village       |   1288360 |        598
 Lake Jenniferside Park        |   1287531 |        599
 Murillomouth Park             |   1286417 |        600
 Lake Susanstad Park           |   1285352 |        601
 Port Debbie Gardens           |   1285235 |        602
 West Brittneymouth Gardens    |   1283812 |        603
 Rojasport Estates             |   1282895 |        604
 Thomasshire Bay               |   1282607 |        605
 East Michelle Gardens         |   1280733 |        606
 North Julieshire Gardens      |   1280148 |        607
 South Rachel Park             |   1278441 |        608
 Jasonville Park               |   1278251 |        609
 Sanchezfurt Gardens           |   1278178 |        610
 Lynchville Village            |   1277853 |        611
 Isaacton Park                 |   1277781 |        612
 New Karen Bay                 |   1277661 |        613
 West Victoria Gardens         |   1277484 |        614
 Adamsmouth Gardens            |   1277005 |        615
 New Howard Ridge              |   1275986 |        616
 Martinborough Estates         |   1275542 |        617
 Port Maryport Bay             |   1274891 |        618
 Kellyhaven Bay                |   1274650 |        619
 Floresberg Gardens            |   1274149 |        620
 Spencechester Heights         |   1274057 |        621
 South Deborah Heights         |   1272245 |        622
 South Sherry Ridge            |   1271485 |        623
 East Michelleland Ridge       |   1271246 |        624
 Petersenhaven Village         |   1270861 |        625
 Port Jessicashire Gardens     |   1270600 |        626
 Lake David Heights            |   1267400 |        627
 South Lauriefurt Gardens      |   1264785 |        628
 Carolland Gardens             |   1264623 |        629
 Susantown Ridge               |   1263379 |        630
 Rodriguezton Ridge            |   1263103 |        631
 Cainton Ridge                 |   1263044 |        632
 Cunninghamberg Gardens        |   1262895 |        633
 Ryantown Bay                  |   1262348 |        634
 Mileshaven Park               |   1261586 |        635
 Johnstonstad Estates          |   1261326 |        636
 Garciahaven Gardens           |   1259958 |        637
 North Michelleton Estates     |   1259698 |        638
 Tinaborough Park              |   1257571 |        639
 East Jenna Gardens            |   1256802 |        640
 South Ronaldview Bay          |   1256203 |        641
 Mistyhaven Estates            |   1255189 |        642
 Griffithstad Estates          |   1253661 |        643
 Laurieton Village             |   1253329 |        644
 Port Adam Gardens             |   1253083 |        645
 Lake Colleenmouth Ridge       |   1252632 |        646
 North Johnhaven Gardens       |   1252160 |        647
 Port Craigmouth Estates       |   1251724 |        648
 South Alexander Ridge         |   1250645 |        649
 Port Jasonbury Ridge          |   1250260 |        650
 Mendozaburgh Village          |   1250048 |        651
 Mollymouth Bay                |   1249651 |        652
 Lake Curtis Bay               |   1248836 |        653
 Lake Connor Heights           |   1248790 |        654
 Port Andreaton Gardens        |   1248226 |        655
 Colemanbury Park              |   1247654 |        656
 Port Tiffany Gardens          |   1246942 |        657
 South Andrewhaven Bay         |   1246631 |        658
 Debbieburgh Village           |   1245698 |        659
 Lindaton Heights              |   1244597 |        660
 East Gabriel Ridge            |   1242255 |        661
 Port Joshua Estates           |   1241682 |        662
 Port Sonyaside Estates        |   1241517 |        663
