             name              | listing_cnt | avg_price  
 Diaztown Gardens              |           1 | 1881474.77
 West Cynthiachester Heights   |           1 | 1878624.30
 New Ashleyland Park           |           1 | 1878159.58
 Alvaradoberg Ridge            |           1 | 1877592.70
 Christinabury Park            |           1 | 1876476.79
 Jacksonberg Estates           |           1 | 1874168.53
 South Elizabethland Village   |           2 | 1873353.79
 Thomaschester Village         |           1 | 1873062.32
 New Jordan Estates            |           1 | 1872443.24
 East Thomasside Bay           |           1 | 1870953.24
 West John Park                |           1 | 1866185.90
 South Stacy Gardens           |           1 | 1865283.04
 Sherryport Gardens            |           1 | 1864247.78
 Jessicaview Village           |           1 | 1856985.16
 Port Jenniferview Village     |           1 | 1855806.76
 New Kimberlyview Estates      |           1 | 1855254.40
 Brianfurt Gardens             |           1 | 1854613.14
 South Sheilamouth Heights     |           1 | 1853919.78
 East Andrea Gardens           |           1 | 1852058.54
 Thomasbury Gardens            |           1 | 1851398.23
 South Jessicaberg Estates     |           1 | 1850111.02
 Thomasmouth Gardens           |           1 | 1849065.93
 Lorifort Gardens              |           1 | 1848335.50
 Wilcoxview Heights            |           2 | 1842144.98
 Lake Daniellestad Park        |           1 | 1841075.62
 New Christopherland Heights   |           1 | 1840764.86
 Micheletown Village           |           1 | 1840742.09
 North Ericport Gardens        |           1 | 1839270.42
 South Elizabeth Ridge         |           1 | 1838678.97
 Sethtown Village              |           1 | 1837475.70
 Turnerfurt Bay                |           1 | 1836550.78
 Wilkersonberg Heights         |           1 | 1833583.49
 Bradfordton Gardens           |           1 | 1831299.12
 New Michael Estates           |           1 | 1830300.49
 Moniqueport Gardens           |           1 | 1829829.42
 Lake Christieburgh Gardens    |           1 | 1829428.10
 East Williamfurt Village      |           1 | 1829202.94
 West Michaelbury Park         |           1 | 1826972.72
 Juanside Gardens              |           1 | 1819847.76
 West Matthewfurt Ridge        |           1 | 1813939.26
 Tonyview Heights              |           1 | 1812897.52
 Lake Brian Bay                |           2 | 1811392.57
 North Daltonfurt Estates      |           1 | 1809113.70
 Jermaineshire Park            |           1 | 1808246.33
 Clementsville Ridge           |           1 | 1807862.12
 Lake Chrisview Heights        |           1 | 1804648.06
 Maryfort Park                 |           1 | 1802369.93
 South Juan Estates            |           1 | 1800583.01
 New Jamie Village             |           1 | 1799960.24
 Guzmanhaven Bay               |           1 | 1798808.58
 Kristineville Ridge           |           4 | 1798433.97
 Joneston Gardens              |           1 | 1798313.52
 West Debraberg Park           |           2 | 1795484.11
 New Samantha Bay              |           2 | 1789551.44
 Jamesview Park                |           1 | 1789004.01
 Eileenchester Gardens         |           1 | 1788360.98
 Hendersonmouth Ridge          |           1 | 1786809.78
 Port Elizabeth Estates        |           1 | 1785290.73
 East Jason Park               |           1 | 1785257.93
 Williamsstad Heights          |           3 | 1783825.77
 Barrettville Heights          |           1 | 1781490.00
 Derrickmouth Park             |           2 | 1781276.73
 Lake Kristineburgh Heights    |           1 | 1781248.41
 West Francisco Heights        |           2 | 1781161.21
 Staceyville Bay               |           1 | 1778812.35
 West Christophershire Estates |           3 | 1777743.76
 Leslieville Ridge             |           2 | 1776580.06
 South William Heights         |           1 | 1774178.53
 Lake Suzanne Bay              |           1 | 1772448.98
 East Andrewmouth Estates      |           1 | 1771736.64
 North Kevinfurt Bay           |           1 | 1771158.82
 Lake Laurabury Estates        |           2 | 1769096.56
 Jonesborough Village          |           1 | 1767299.86
 Port Jillborough Ridge        |           1 | 1766708.44
 South Matthewfurt Park        |           1 | 1764630.34
 Smithtown Ridge               |           1 | 1763482.83
 South Chase Ridge             |           1 | 1759155.06
 East Jerryhaven Bay           |           1 | 1754887.89
 Villegasshire Ridge           |           1 | 1753447.08
 Port Dominiquemouth Ridge     |           1 | 1753288.73
 Port Ellenstad Park           |           2 | 1752358.71
 New Jamieville Village        |           1 | 1750628.06
 New Lukeville Gardens         |           2 | 1749126.09
 Josephstad Heights            |           1 | 1743166.67
 East John Estates             |           1 | 1739540.11
 Bryanchester Park             |           1 | 1738645.73
 South Jason Gardens           |           1 | 1737008.96
 East Ashley Village           |           2 | 1736314.24
 South Tara Village            |           1 | 1733689.90
 Floydhaven Gardens            |           2 | 1732412.10
 Port Monica Estates           |           1 | 1731712.76
 North Erin Village            |           1 | 1731061.66
 Nicholasbury Gardens          |           1 | 1730588.04
 North Priscilla Ridge         |           1 | 1728630.56
 South Benjaminshire Ridge     |           1 | 1728200.72
 Christinaside Ridge           |           1 | 1726965.57
 West James Estates            |           1 | 1725901.87
 Dustinmouth Gardens           |           1 | 1725775.09
 North Joshua Gardens          |           1 | 1723785.59
 Lake Georgehaven Estates      |           2 | 1722724.52
 New Adam Bay                  |           1 | 1722634.27
 Lake Kyle Estates             |           1 | 1721923.22
 Lake Karenside Park           |           1 | 1711882.74
 Benjaminshire Heights         |           1 | 1711334.18
 New Christopherhaven Ridge    |           1 | 1710108.76
 Alejandroland Ridge           |           3 | 1709353.24
 South Sabrina Heights         |           1 | 1707415.81
 East Erinchester Bay          |           1 | 1703798.43
 West Cynthiabury Park         |           1 | 1703121.69
 Stephensonborough Heights     |           1 | 1699224.11
 North Jennifer Estates        |           1 | 1696956.62
 West John Gardens             |           1 | 1696359.15
 Jaytown Estates               |           1 | 1696100.31
 Mathisfurt Gardens            |           1 | 1693879.73
 Lake Ashlee Park              |           1 | 1691999.14
 New Tina Village              |           2 | 1691640.62
 Jeromefurt Village            |           1 | 1691476.75
 West Cindymouth Ridge         |           2 | 1690062.29
 Lake Julie Ridge              |           1 | 1687033.65
 Jenniferside Bay              |           2 | 1685868.07
 West Peggymouth Heights       |           2 | 1685481.06
 Lewisview Village             |           2 | 1684495.06
 Jenniferstad Bay              |           2 | 1684315.60
 West Andrew Bay               |           2 | 1684133.36
 Natalieborough Bay            |           1 | 1678707.81
 Waynehaven Bay                |           1 | 1676968.45
 Matthewmouth Bay              |           1 | 1676319.80
 Port Williamville Ridge       |           2 | 1676132.34
 East Rebeccamouth Gardens     |           1 | 1675894.61
 North Don Village             |           1 | 1675823.65
 West Thomasview Gardens       |           1 | 1675123.90
 Johnhaven Ridge               |           2 | 1674805.43
 West Jordanburgh Park         |           1 | 1672511.34
 Ruizstad Estates              |           1 | 1672197.01
 North Katrinashire Heights    |           2 | 1671117.60
 North Jodiland Estates        |           1 | 1668907.68
 Marymouth Park                |           1 | 1667202.83
 Robertsonbury Gardens         |           2 | 1666405.62
 Port Gerald Estates           |           2 | 1663866.13
 Laurenmouth Heights           |           2 | 1661296.68
 North Leeborough Estates      |           1 | 1661026.75
 Tinafort Ridge                |           1 | 1660002.70
 Port Johnborough Estates      |           1 | 1659551.79
 Port Zacharyshire Bay         |           2 | 1659116.54
 East Christian Bay            |           1 | 1658178.83
 Loriport Park                 |           1 | 1658077.92
 Kristenland Bay               |           1 | 1657278.82
 North Stephanie Bay           |           1 | 1656661.69
 Fostermouth Estates           |           2 | 1655439.22
 North Richardshire Bay        |           1 | 1653617.14
 Danielborough Gardens         |           1 | 1652740.15
 North Davidbury Village       |           2 | 1652267.87
 Johnsonside Village           |           1 | 1651520.39
 Garciaburgh Ridge             |           1 | 1650783.44
 Lake Jamie Park               |           4 | 1650730.59
 Michaelport Ridge             |           1 | 1649452.87
 Lake Nancy Ridge              |           2 | 1649197.98
 Lake Robin Ridge              |           1 | 1648840.02
 Keithshire Park               |           1 | 1647911.22
 South Michelleshire Ridge     |           1 | 1646364.24
 Matthewburgh Heights          |           2 | 1645874.83
 New Martinland Park           |           2 | 1645684.32
 New Kevinfort Bay             |           2 | 1645092.58
 West Jeremyburgh Village      |           1 | 1642625.79
 Kaitlynhaven Park             |           1 | 1641470.39
 Aaronmouth Park               |           1 | 1641379.82
 East Noah Estates             |           2 | 1640947.27
 Fullerview Ridge              |           1 | 1640872.68
 Terryburgh Ridge              |           2 | 1639562.30
 Kevinview Heights             |           1 | 1639174.61
 Jaredbury Estates             |           1 | 1638862.89
 Stevenmouth Gardens           |           1 | 1638508.28
 Jenniferview Village          |           1 | 1637891.93
 Donaldmouth Estates           |           2 | 1632246.07
 North Sharonshire Heights     |           2 | 1630294.17
 West Jenniferport Village     |           1 | 1629353.18
 North Ericshire Gardens       |           1 | 1625799.70
 North Karlaborough Heights    |           1 | 1625465.97
 Lake David Estates            |           1 | 1624818.02
 Willieport Park               |           1 | 1624249.39
 Port Reginahaven Village      |           1 | 1623280.26
 New Michaelbury Park          |           2 | 1622608.24
 Port Kimberly Park            |           1 | 1620753.40
 Schultzborough Gardens        |           1 | 1620495.98
 New Theresa Village           |           1 | 1619978.78
 Jessicastad Gardens           |           2 | 1618508.55
 North Thomashaven Ridge       |           1 | 1615745.50
 Rodriguezstad Bay             |           2 | 1615173.97
 Dianaton Village              |           2 | 1612660.83
 East Mariamouth Gardens       |           1 | 1612040.48
 Coxport Bay                   |           1 | 1611176.25
 Lake Patriciachester Heights  |           1 | 1609534.66
 East Baileyburgh Bay          |           1 | 1604363.30
 Angelicamouth Estates         |           2 | 1604147.73
 Port Justinhaven Park         |           3 | 1603170.17
 Lake Jamiefurt Heights        |           1 | 1601379.01
 Gonzalezborough Estates       |           2 | 1599525.25
 Lake Johnny Heights           |           2 | 1596435.60
 Port Davidshire Village       |           1 | 1594146.60
 Lindamouth Ridge              |           1 | 1593541.36
 East Brianhaven Park          |           3 | 1592644.11
 Lopezville Ridge              |           2 | 1592411.23
 Thomasmouth Park              |           1 | 1592106.42
 Jamiebury Heights             |           1 | 1591548.43
 Donnaberg Bay                 |           1 | 1590081.36
 South Thomasberg Gardens      |           2 | 1586190.33
 Fernandoshire Park            |           1 | 1584808.34
 Stevensonview Bay             |           1 | 1583737.54
 Julietown Gardens             |           1 | 1583534.82
 Port Annaton Heights          |           2 | 1582461.93
 Vanessafort Village           |           2 | 1578101.64
 Jonathonville Park            |           2 | 1577640.48
 Richardton Bay                |           1 | 1577129.43
 Maryfurt Ridge                |           1 | 1577082.99
 New Lisaport Village          |           1 | 1576058.69
 Meganmouth Ridge              |           1 | 1575749.18
 Jessicahaven Park             |           1 | 1573786.97
 West Kyle Heights             |           2 | 1573176.08
 Lake Erinfurt Estates         |           1 | 1573042.24
 Port Emily Village            |           2 | 1573025.04
 South Kimmouth Gardens        |           1 | 1571362.98
 West Paul Ridge               |           1 | 1570839.66
 Millerton Village             |           1 | 1570699.01
 East Catherine Ridge          |           2 | 1569089.10
 North Christopherbury Park    |           2 | 1568541.40
 West April Heights            |           2 | 1568215.54
 South Christine Bay           |           1 | 1568116.51
 Leeshire Bay                  |           1 | 1567796.35
 Derekton Park                 |           2 | 1566438.30
 New Nicoleborough Ridge       |           1 | 1566408.83
 North Jillian Park            |           1 | 1565827.32
 Jeffreytown Estates           |           3 | 1564894.31
 New Steven Village            |           1 | 1564427.97
 Natalietown Heights           |           1 | 1564369.10
 South Mary Gardens            |           2 | 1564357.80
 East Robin Bay                |           1 | 1563780.91
 Holmesburgh Village           |           1 | 1563604.87
 Jacobhaven Bay                |           1 | 1563345.11
 Karenshire Village            |           1 | 1563096.38
 Lake Evanville Park           |           1 | 1562629.38
 Duanemouth Bay                |           1 | 1562245.48
 Gibsonmouth Park              |           1 | 1560942.30
 Serranochester Bay            |           1 | 1559290.35
 Amandaville Heights           |           1 | 1558382.76
 South Kevinfort Ridge         |           3 | 1557982.70
 Port Rebecca Estates          |           1 | 1556100.23
 Cynthiaview Park              |           2 | 1556036.32
 Mitchellland Gardens          |           3 | 1555736.13
 Armstrongfurt Bay             |           2 | 1554504.26
 Lake Lindseyburgh Ridge       |           2 | 1554242.21
 Pattersonville Estates        |           1 | 1553393.76
 Penastad Bay                  |           1 | 1553312.70
 Floresfort Village            |           2 | 1552348.82
 North Glennton Village        |           1 | 1552241.33
 West William Bay              |           1 | 1550608.94
 West Michaelfort Bay          |           1 | 1549557.08
 Beckmouth Heights             |           1 | 1549535.85
 Rhondahaven Estates           |           1 | 1548865.70
 New Ronaldmouth Estates       |           1 | 1546107.69
 New Dean Heights              |           1 | 1544112.31
 North Nicolechester Heights   |           1 | 1542291.82
 Cherylberg Bay                |           2 | 1541308.32
 North Madison Estates         |           2 | 1541082.25
 Bellburgh Bay                 |           1 | 1541061.40
 Taylormouth Gardens           |           1 | 1540696.14
 Samanthaport Bay              |           2 | 1540458.26
 South Jonathan Ridge          |           1 | 1537924.09
 North Michael Bay             |           1 | 1537456.68
 West Michael Gardens          |           1 | 1536295.50
 East Joshua Village           |           2 | 1533937.37
 Thomaschester Ridge           |           1 | 1531402.67
 Tammyberg Bay                 |           2 | 1530030.21
 Port Natashahaven Village     |           1 | 1529682.81
 South Alanview Estates        |           1 | 1529507.24
 Hernandezstad Estates         |           4 | 1529132.46
 South Katherinefurt Park      |           1 | 1528860.05
 New Caseyton Gardens          |           1 | 1526791.72
 Kennethtown Park              |           1 | 1526692.64
 Barnesshire Park              |           2 | 1526457.70
 New Meredithburgh Village     |           2 | 1525299.80
 East Frederickland Bay        |           1 | 1525104.48
 Xavierstad Park               |           1 | 1523440.78
 East Angelaport Heights       |           2 | 1523404.75
 Hineschester Ridge            |           2 | 1523217.39
 Lopezton Heights              |           3 | 1520850.50
 Dannyville Heights            |           1 | 1520230.84
 North Julie Park              |           1 | 1520147.07
 Robertsmouth Park             |           1 | 1518245.46
 Port Nancy Heights            |           1 | 1516483.10
 New Marilynburgh Gardens      |           2 | 1515289.93
 South Wesleyfurt Gardens      |           2 | 1513127.49
 South Terry Bay               |           2 | 1513054.82
 South Jamesborough Park       |           1 | 1512565.57
 Michaelport Gardens           |           1 | 1510769.43
 South Robertborough Gardens   |           1 | 1510642.01
 Caldwellhaven Bay             |           1 | 1509884.73
 Lake Ryanbury Ridge           |           1 | 1509158.11
 Milesside Village             |           3 | 1507853.58
 New Leslieberg Ridge          |           2 | 1507602.75
 Smithborough Gardens          |           2 | 1506920.19
 Rodneymouth Heights           |           1 | 1504167.40
 Angelaview Estates            |           1 | 1503731.10
 Leeburgh Village              |           1 | 1503087.17
 Lake Cliffordstad Heights     |           2 | 1499542.77
 North Sarah Heights           |           1 | 1496703.95
 Carterfurt Park               |           2 | 1496458.91
 Jamesmouth Village            |           2 | 1496113.99
 North Theresatown Ridge       |           1 | 1495274.17
 North Stevenview Heights      |           1 | 1494835.22
 West Tracymouth Heights       |           1 | 1494806.49
 North Wendyshire Park         |           2 | 1494466.01
 Jacobstown Park               |           2 | 1493329.47
 Tiffanyberg Bay               |           1 | 1492706.62
 North Sarah Park              |           1 | 1491771.93
 Melissabury Bay               |           1 | 1489406.77
 North Thomasberg Bay          |           1 | 1489120.43
 Thompsonland Park             |           2 | 1488238.61
 Ericashire Park               |           1 | 1485056.26
 West Travismouth Ridge        |           3 | 1484816.32
 Vanessaburgh Estates          |           1 | 1484252.69
 South Davidchester Estates    |           1 | 1483691.24
 Brianhaven Heights            |           1 | 1482850.13
 Port Yvonneview Bay           |           1 | 1482416.70
 Port Tyronefurt Bay           |           1 | 1482130.46
 Debrabury Heights             |           1 | 1481964.35
 Elizabethfort Bay             |           1 | 1481919.17
 Nelsonville Bay               |           3 | 1481892.85
 Johnchester Ridge             |           4 | 1481427.65
 Dillonfort Park               |           1 | 1481317.10
 East Robert Estates           |           1 | 1477615.19
 Pattyfort Estates             |           3 | 1476327.75
 Darrellside Ridge             |           1 | 1475981.67
 New Todd Park                 |           3 | 1475286.50
 Anthonyport Park              |           2 | 1475166.20
 New Jeremybury Ridge          |           1 | 1474459.72
 Grayport Heights              |           1 | 1474031.75
 West Terri Estates            |           2 | 1473818.59
 New Jason Ridge               |           1 | 1473774.05
 South Henry Bay               |           3 | 1471459.57
 North Rachel Village          |           1 | 1471099.80
 Lake Joshua Park              |           1 | 1470905.73
 Jessicamouth Ridge            |           1 | 1470084.70
 Brooksbury Bay                |           2 | 1469013.67
 South Danielle Heights        |           1 | 1467941.03
 Rhodesfurt Village            |           2 | 1467008.46
 Bellport Park                 |           1 | 1466914.85
 New Heatherview Park          |           1 | 1466308.28
 East Dawn Village             |           1 | 1463286.50
 Robertport Bay                |           1 | 1462717.61
 Lake Kenneth Park             |           1 | 1457844.18
 Scottland Village             |           2 | 1457096.52
 West Brian Ridge              |           2 | 1455005.45
 New Mary Village              |           1 | 1453708.69
 North Alexandriaton Gardens   |           1 | 1453572.71
 Ruthstad Village              |           1 | 1453558.79
 Baileyport Gardens            |           1 | 1453315.76
 Lake Virginia Village         |           1 | 1451611.28
 West Andrea Ridge             |           2 | 1451172.02
 Keithton Bay                  |           2 | 1448461.37
 Lake Michelle Estates         |           3 | 1446090.73
 Normanhaven Heights           |           5 | 1445484.22
 Lake William Village          |           1 | 1444034.58
 South Cindy Gardens           |           2 | 1443230.60
 West Kevin Village            |           1 | 1441844.44
 Meyersbury Gardens            |           2 | 1441363.22
 Brianshire Heights            |           1 | 1440971.23
 East Derrick Ridge            |           1 | 1440707.41
 Morganberg Park               |           1 | 1439686.00
 South Jasontown Park          |           1 | 1439396.36
 Stevenfurt Village            |           1 | 1438878.92
 Scottland Park                |           2 | 1438434.00
 Johnsonfort Gardens           |           1 | 1436052.07
 West Danielle Estates         |           3 | 1435675.00
 Kevinfurt Gardens             |           1 | 1434980.25
 Taraview Village              |           1 | 1434232.57
 Owenville Ridge               |           2 | 1433551.86
 Boylefort Park                |           3 | 1433333.26
 South Laurabury Bay           |           1 | 1433190.38
 Stevensmouth Estates          |           5 | 1431632.21
 Juarezland Estates            |           1 | 1431466.42
 North Antonioburgh Estates    |           1 | 1430868.66
 Joshuamouth Park              |           2 | 1428745.28
 Rodriguezton Bay              |           1 | 1426487.12
 West Charles Estates          |           1 | 1426341.44
 Martinfort Village            |           2 | 1426027.64
 Devinstad Heights             |           2 | 1420567.90
 West Brendaberg Village       |           1 | 1419803.88
 Port Jennifer Bay             |           2 | 1419014.76
 Jonathanshire Heights         |           2 | 1416491.68
 East Barry Village            |           2 | 1415340.38
 Wrightmouth Bay               |           1 | 1414418.80
 Lake Kimberly Bay             |           2 | 1414256.42
 Charleshaven Estates          |           1 | 1414163.57
 South Danielstad Heights      |           1 | 1414132.54
 Mayofort Park                 |           1 | 1413865.27
 Staffordmouth Gardens         |           1 | 1413381.08
 West James Heights            |           1 | 1413360.46
 Rachaelfort Village           |           1 | 1412725.30
 Amyhaven Village              |           4 | 1412494.84
 Port Ashleyfort Heights       |           2 | 1412014.20
 Port Curtis Gardens           |           1 | 1411357.79
 South Dominic Ridge           |           3 | 1410636.81
 Andrewside Village            |           1 | 1407630.93
 Danielstad Village            |           1 | 1407211.17
 Rileyland Heights             |           2 | 1407035.30
 Gallagherberg Bay             |           2 | 1406569.44
 Collinsburgh Ridge            |           2 | 1405503.02
 New Nathaniel Heights         |           3 | 1405022.79
 Christinamouth Bay            |           1 | 1404883.63
 Timothyfurt Bay               |           3 | 1404400.90
 Lake Philipfort Bay           |           2 | 1404141.52
 Garciamouth Heights           |           1 | 1403783.26
 Joelside Village              |           2 | 1403661.08
 Vancebury Ridge               |           2 | 1403138.18
 West Annetteberg Bay          |           2 | 1401557.31
 West Madison Gardens          |           6 | 1401089.83
 Patrickland Park              |           2 | 1400576.59
 East Alyssa Heights           |           3 | 1399794.53
 Mannmouth Estates             |           4 | 1398366.67
 Boydmouth Village             |           2 | 1397410.01
 Lake Samuelland Bay           |           4 | 1397208.59
 Elainefurt Estates            |           2 | 1397142.84
 Lisaport Gardens              |           2 | 1393371.47
 West Ericview Estates         |           1 | 1391267.67
 Johntown Heights              |           1 | 1391250.21
 East Debbie Gardens           |           2 | 1390431.41
 West Donaldburgh Ridge        |           5 | 1389593.57
 South Kelseyville Park        |           2 | 1388771.31
 Charlesland Estates           |           2 | 1388211.34
 Snyderville Heights           |           1 | 1387318.89
 Kerriside Gardens             |           3 | 1385166.86
 Webbberg Village              |           1 | 1384430.98
 Port Luiston Bay              |           2 | 1384289.91
 Phillipsfort Ridge            |           1 | 1382146.54
 South Alyssashire Gardens     |           2 | 1381981.97
 South Edwardstad Park         |           2 | 1381690.08
 Hodgesburgh Estates           |           1 | 1381320.15
 Markstad Village              |           2 | 1381284.85
 Lake Jimmyshire Bay           |           5 | 1381200.97
 Robertsontown Heights         |           1 | 1378946.40
 South Robinmouth Village      |           1 | 1378538.86
 Joseburgh Estates             |           1 | 1376199.03
 South James Gardens           |           1 | 1375610.56
 Dennismouth Ridge             |           1 | 1373716.77
 West Davidshire Bay           |           1 | 1372647.91
 Lake Sophia Heights           |           3 | 1370536.88
 Mooreton Gardens              |           2 | 1369270.07
 North Rachel Park             |           3 | 1368793.48
 Bishopmouth Estates           |           2 | 1366605.43
 West Kristiport Village       |           1 | 1365171.12
 Wrightburgh Heights           |           1 | 1365074.09
 New Mariaberg Estates         |           1 | 1364682.31
 East Jenniferchester Estates  |           2 | 1363630.42
 Mirandaville Heights          |           2 | 1361033.38
 Ashleyfurt Gardens            |           2 | 1359730.06
 Lake Chelseamouth Estates     |           1 | 1358120.57
 Nathanielfurt Bay             |           1 | 1357396.21
 North Eileenburgh Park        |           1 | 1356859.11
 East John Heights             |           1 | 1356776.76
 Parkerhaven Park              |           1 | 1356735.58
 Port Zacharyfurt Estates      |           2 | 1354210.80
 East Andreashire Village      |           1 | 1353842.14
 Smithbury Village             |           1 | 1352890.09
 Lake Deannafurt Heights       |           4 | 1352820.65
 West Tiffanyhaven Gardens     |           2 | 1352459.48
 West Michelemouth Bay         |           2 | 1352102.72
 West Brandyville Gardens      |           2 | 1350850.77
 Port Vanessa Bay              |           1 | 1349911.03
 South Angela Ridge            |           1 | 1349792.88
 Port Marie Estates            |           4 | 1349756.29
 Thomasport Park               |           3 | 1348656.10
 North Jennifer Heights        |           1 | 1348465.12
 West Michellemouth Ridge      |           1 | 1348263.39
 East Corey Village            |           1 | 1348114.21
 Saraview Park                 |           2 | 1347895.59
 Kristietown Estates           |           3 | 1347512.61
 Youngville Estates            |           2 | 1344240.75
 New Sheena Village            |           2 | 1343395.18
 New Gabrieltown Estates       |           4 | 1343302.36
 Kristenton Bay                |           2 | 1343220.63
 North Johnburgh Ridge         |           2 | 1341843.70
 Cooperside Estates            |           2 | 1341208.44
 Elizabethmouth Village        |           1 | 1340999.72
 Melissamouth Park             |           2 | 1340783.50
 Ruthborough Bay               |           1 | 1340371.76
 East Brandonville Gardens     |           2 | 1339479.57
 Rebeccafort Park              |           3 | 1337457.87
 Lisaport Ridge                |           1 | 1337012.73
 Jamiehaven Bay                |           2 | 1336896.95
 Sotoberg Gardens              |           1 | 1336335.35
 East George Village           |           2 | 1336244.94
 Ginashire Village             |           2 | 1334997.44
 Matthewside Gardens           |           1 | 1333028.94
 Wrightport Heights            |           1 | 1332748.59
 Port Nathanhaven Gardens      |           1 | 1332555.90
 New Christianville Estates    |           2 | 1330310.66
 Davidmouth Park               |           2 | 1329150.60
 North Richard Estates         |           1 | 1326538.92
 Sarahchester Bay              |           1 | 1325803.53
 Catherinehaven Gardens        |           1 | 1325504.31
 North Philipfort Estates      |           2 | 1325000.51
 Taylorhaven Park              |           1 | 1324167.23
 Lake Trevorhaven Heights      |           1 | 1324165.74
 Dayport Estates               |           1 | 1324055.93
 Port Stevetown Gardens        |           2 | 1323810.47
 Lake Richard Gardens          |           3 | 1323260.33
 East Caleb Ridge              |           2 | 1321972.33
 Mclaughlinview Bay            |           2 | 1321454.15
 Port Krystal Bay              |           2 | 1319829.47
 Lake William Heights          |           2 | 1319774.85
 North Craig Heights           |           1 | 1319418.43
 Lorishire Ridge               |           4 | 1319323.50
 New Seth Ridge                |           2 | 1318241.03
 Lake Katherine Ridge          |           2 | 1318212.56
 New Ian Park                  |           2 | 1318164.66
 South Nicholas Heights        |           1 | 1315992.33
 Hallmouth Park                |           4 | 1315799.17
 Robbinsside Village           |           1 | 1315422.09
 West Debra Park               |           2 | 1314656.56
 Davidburgh Village            |           1 | 1314563.73
 Glenborough Heights           |           1 | 1311845.00
 Sarahfort Gardens             |           2 | 1311343.27
 East Katherine Park           |           3 | 1311031.95
 Saraland Village              |           1 | 1310630.98
 Timothybury Heights           |           2 | 1310518.26
 Simpsonmouth Park             |           2 | 1309621.82
 Blaketon Bay                  |           2 | 1308689.84
 Port Kellychester Gardens     |           2 | 1305508.04
 Monroestad Gardens            |           4 | 1304665.59
 Marvinport Ridge              |           2 | 1304510.93
 East Melissa Park             |           1 | 1303472.03
 Lake Christinaton Heights     |           1 | 1303373.08
 New William Estates           |           1 | 1302657.20
 Jamesview Gardens             |           2 | 1300526.87
 New Micheleborough Village    |           1 | 1300465.72
 East Josephchester Village    |           2 | 1299618.52
 Henryberg Ridge               |           1 | 1298832.10
 Angelatown Gardens            |           2 | 1298641.28
 Christinestad Village         |           1 | 1296297.13
 Thomasbury Ridge              |           2 | 1294792.34
 West William Heights          |           3 | 1293210.81
 Richardview Estates           |           1 | 1292962.26
 East Cindyburgh Village       |           2 | 1288359.56
 Lake Jenniferside Park        |           1 | 1287530.83
 Murillomouth Park             |           1 | 1286416.70
 Lake Susanstad Park           |           2 | 1285351.80
 Port Debbie Gardens           |           2 | 1285234.65
 West Brittneymouth Gardens    |           2 | 1283812.36
 Rojasport Estates             |           1 | 1282894.85
 Thomasshire Bay               |           2 | 1282606.85
 East Michelle Gardens         |           2 | 1280732.58
