transaction_id,buyer_id,property_id,amount,date
133,472,953,1738645.73,2025-03-19
134,1674,2052,1359303.19,2023-05-26
135,669,665,1564475.09,2024-08-04
136,193,335,669427.57,2024-04-13
137,2573,1371,105288.25,2024-05-30
138,639,2512,92640.32,2024-04-19
139,2822,1993,1005429.26,2024-11-12
140,2525,1714,1256802.2,2024-03-15
141,2266,1508,819127.2,2024-06-06
142,1179,1655,1536295.5,2025-04-19
143,720,334,121459.88,2023-04-13
144,379,1579,1416462.08,2023-12-21
145,1851,36,1813939.26,2022-12-19
146,2597,220,341680.98,2023-01-05
147,1709,673,578355.52,2025-05-27
148,179,2106,1078707.31,2024-09-20
149,561,434,837562.53,2022-07-26
150,544,1098,1898282.11,2024-03-02
151,41,1873,1073219.46,2024-10-07
152,2689,1547,1351453.05,2023-02-16
153,1773,1166,1453315.76,2023-04-16
154,2946,2608,589700.39,2023-04-07
155,2606,1384,1865283.04,2025-04-28
156,2736,873,1956466.95,2023-11-04
157,1593,625,734194.14,2024-09-23
158,2356,524,628228.68,2025-01-03
159,477,2852,123603.03,2024-05-19
160,1005,2965,365092.21,2024-04-20
161,1363,180,1588284.02,2022-12-01
162,2593,412,1570839.66,2022-06-17
163,430,983,1920473.56,2023-02-02
164,1110,1050,701326.31,2023-10-23
165,2482,1545,1376260.51,2023-04-30
166,2220,2821,245780.27,2024-05-27
167,2376,1337,1993008.85,2022-09-21
168,111,2417,637938.71,2025-04-07
169,544,2308,180468.32,2023-04-18
170,339,2158,1490056.91,2022-11-10
171,1169,2084,1365326.66,2024-02-08
172,2399,2431,1001686.25,2024-01-12
173,1051,1459,1450122.78,2025-04-05
174,1113,2739,1325504.31,2023-05-13
175,2956,2392,1624135.88,2025-02-13
176,1139,2433,677344.06,2023-10-12
177,1799,577,1170172.75,2023-01-27
178,1441,1208,1688532.09,2024-08-27
179,1910,601,1588457.06,2023-07-03
180,2699,226,413236.69,2024-05-06
181,1184,2005,1095143.42,2024-09-29
182,1027,1256,435237.41,2023-01-31
183,515,2781,393026.83,2025-05-26
184,442,1835,1728630.56,2024-06-02
185,1478,1688,1623351.71,2022-10-07
186,946,2331,1340371.76,2022-12-19
187,1054,2404,601791.24,2024-12-27
188,8,1077,1431466.42,2023-09-29
189,1574,1334,813742.55,2022-10-17
190,414,1162,1766708.44,2023-10-23
191,1234,1060,242843.54,2022-07-26
192,1250,1723,1127344.76,2024-03-24
193,2842,1488,1851255.57,2024-09-26
194,1987,1268,517423.85,2023-04-04
195,2117,280,1445559.29,2023-01-04
196,1198,1304,1584808.34,2022-08-15
197,656,1299,124393.14,2024-06-30
198,552,2881,251505.84,2024-02-09
199,2096,2093,680194.08,2024-02-02
200,2188,2730,1239762.22,2024-10-23
201,1614,1221,1472380.21,2023-02-07
202,1553,1303,479372.34,2024-08-02
203,71,2295,612179.08,2022-06-25
204,2501,940,1032705.23,2024-05-09
205,102,1025,1413241.49,2024-02-03
206,976,337,1910927.98,2025-04-01
207,1949,2286,161995.64,2022-11-10
208,1204,636,140437.42,2025-02-15
209,314,974,1225435.26,2023-12-14
210,2442,402,929970.72,2024-07-26
211,917,1790,1385758.37,2023-10-30
212,2880,2496,1170125.9,2024-03-14
213,2530,2045,407767.99,2023-06-17
214,1394,1068,593150.32,2022-12-16
215,2159,897,571217.01,2022-09-09
216,2521,880,1311845.0,2025-02-23
217,1998,1987,503470.56,2024-04-27
218,1982,543,564075.33,2025-02-22
219,1808,500,972504.97,2024-09-15
220,1483,1030,1449887.49,2025-04-24
221,621,669,197506.75,2023-11-02
222,1055,474,930919.93,2022-11-10
223,673,1300,985338.28,2023-01-18
224,7,2936,1783723.72,2023-02-17
225,834,2159,369040.31,2023-01-03
226,2775,863,525440.5,2022-08-20
227,1127,402,929970.72,2024-10-20
228,763,1180,1111798.23,2023-06-21
229,1945,563,1333027.06,2024-01-05
230,740,941,1032951.78,2022-08-13
231,1865,599,369566.51,2025-01-01
232,179,1821,95483.61,2022-10-14
233,1219,282,279643.89,2022-11-28
234,2455,1979,124290.62,2023-01-03
235,1416,887,1290011.01,2023-01-09
236,1956,202,708331.67,2023-01-20
237,2764,213,252167.52,2024-12-21
238,1760,968,1419803.88,2023-12-14
239,661,962,1240077.41,2025-05-24
240,2441,2475,605916.9,2025-04-19
241,2282,2720,893740.69,2022-11-27
242,2569,2276,1653617.14,2025-05-20
243,2006,1868,914496.34,2024-06-25
244,860,927,712652.52,2025-03-24
245,1528,653,1136095.05,2024-09-08
246,398,3,884634.12,2022-08-10
247,2175,1399,792808.93,2024-11-28
248,2169,775,432448.46,2024-04-23
249,2623,1885,456658.42,2023-04-25
250,1498,1460,1618778.96,2023-05-23
251,2796,2237,1869448.46,2023-01-25
252,735,1701,362388.57,2024-06-09
253,928,652,803949.42,2025-02-26
254,359,2161,1190122.15,2023-09-19
255,2473,1152,682639.11,2023-07-17
256,1514,410,243170.01,2023-07-23
257,2979,250,422149.37,2023-02-03
258,2281,2144,725682.71,2024-10-04
259,1420,2079,1591836.48,2024-04-11
260,2310,2892,1821626.42,2022-10-22
261,2823,2370,1063010.53,2022-11-22
262,2114,2909,965037.97,2024-06-16
263,2737,383,185099.12,2025-05-28
264,2162,502,1934137.95,2023-01-06
265,409,2465,1357396.21,2024-12-05
266,2541,1108,1481964.35,2024-05-07
267,743,2300,479727.52,2022-07-25
268,492,2036,799477.67,2024-06-07
269,2912,2295,612179.08,2023-12-24
270,964,1169,509895.11,2024-08-11
271,553,2632,1396864.79,2025-03-20
272,9,1687,1835608.71,2024-02-14
273,1046,778,1771158.82,2022-10-11
274,822,2696,146931.41,2022-11-10
275,2410,2687,1574835.79,2022-09-11
276,1308,1391,1658277.07,2023-06-12
277,771,1265,348489.25,2025-03-13
278,801,769,1491662.51,2023-07-12
279,1163,2310,1219964.03,2024-10-21
280,2774,1859,1672197.01,2023-07-17
281,2918,405,1287881.57,2023-09-12
282,2441,1822,754981.78,2024-06-15
283,523,2562,972329.25,2025-04-06
284,52,1108,1481964.35,2024-03-02
285,207,2315,1868673.15,2023-05-11
286,2765,884,336260.25,2024-07-20
287,759,1193,782818.85,2022-08-01
288,608,1135,403165.32,2022-07-22
289,803,2567,1189312.84,2023-07-30
290,131,101,1240093.41,2025-01-15
291,2511,2643,181790.56,2023-09-08
292,332,2789,1037694.16,2024-01-19
293,1883,922,1483691.24,2024-01-03
294,458,1541,641579.68,2023-11-14
295,790,908,816956.77,2023-11-26
296,548,1202,419237.08,2023-10-21
297,2654,932,1326147.2,2023-11-10
298,16,2694,1615882.03,2024-06-06
299,2113,2685,1382146.54,2024-08-06
300,2724,2040,1295344.75,2023-06-21
301,700,1253,1658178.83,2024-12-30
302,1043,1967,1295013.76,2022-10-30
303,2060,980,142109.22,2024-01-09
304,2347,117,841137.39,2023-12-23
305,1991,487,269678.11,2024-06-17
306,555,343,1627910.8,2022-06-23
307,685,1499,1841075.62,2024-10-04
308,2031,2538,1563845.77,2024-12-24
309,2211,2409,1439396.36,2024-07-06
310,1769,2459,1283454.92,2022-09-09
311,320,205,1870953.24,2022-12-23
312,601,1243,926359.53,2025-01-24
313,457,2331,1340371.76,2023-07-18
314,2061,2700,797859.91,2024-09-05
315,734,1929,1669018.51,2024-12-17
316,667,1151,578220.97,2023-07-23
317,1192,2669,784676.61,2023-02-06
318,2554,1475,1521332.13,2022-10-20
319,723,153,1187409.2,2023-01-09
320,1805,1573,1036275.16,2023-01-11
321,2337,2388,810097.35,2023-04-08
322,2575,316,1723785.59,2024-07-08
323,1457,588,1666016.3,2025-01-01
324,2214,863,525440.5,2024-08-26
325,350,369,576550.01,2024-03-10
326,2317,1899,225980.2,2024-03-06
327,2020,2076,751074.77,2024-05-05
328,2361,1462,159188.71,2024-01-13
329,438,1746,997428.55,2022-06-26
330,1662,1468,1371471.14,2022-07-20
331,231,437,1742987.96,2023-05-01
332,2191,198,831884.14,2025-03-14
333,216,1526,1559290.35,2023-07-07
334,1131,1216,316379.43,2022-09-14
335,86,590,1583689.61,2023-07-14
336,1912,1793,213900.51,2024-02-26
337,1597,243,1180934.57,2024-06-07
338,480,2726,1407211.17,2023-07-26
339,518,911,1208936.39,2023-05-28
340,399,1594,149764.87,2023-06-14
341,564,1391,1658277.07,2025-01-26
342,1931,1507,621143.41,2024-07-20
343,378,101,1240093.41,2025-01-07
344,138,80,1911021.33,2025-06-13
345,884,1581,1638701.17,2025-05-30
346,1684,2202,1591996.35,2023-04-20
347,1429,1932,1111559.48,2022-09-07
348,1279,980,142109.22,2023-11-21
349,2399,1945,1549624.39,2025-04-28
350,2634,970,1463999.29,2024-02-18
351,2248,1107,1064112.68,2022-09-28
352,1848,2617,1194814.05,2024-04-08
353,374,2840,637879.43,2023-05-02
354,2240,1104,375500.0,2022-08-31
355,1500,2060,115984.74,2024-04-21
356,306,1591,1299563.7,2024-08-28
357,930,195,1167821.18,2025-04-05
358,723,439,1611394.11,2024-01-25
359,713,2426,406824.71,2024-06-30
360,319,2196,185934.32,2024-09-01
361,652,787,1544989.81,2024-05-31
362,1668,794,99820.87,2022-10-01
363,1944,550,1646596.44,2025-06-04
364,1353,464,883307.04,2023-01-09
365,383,571,1881474.77,2022-11-03
366,2441,2719,740743.25,2025-02-26
367,2136,129,1808418.9,2023-10-07
368,843,2950,147436.01,2024-09-22
369,355,216,1604363.3,2023-06-30
370,632,1560,151312.38,2022-09-01
371,627,953,1738645.73,2024-10-31
372,1805,101,1240093.41,2023-12-24
373,1487,152,827654.61,2023-07-15
374,1572,1862,641659.85,2023-06-26
375,2759,1208,1688532.09,2024-11-04
376,2282,2961,743001.47,2023-08-01
377,715,2771,1594225.94,2023-01-18
378,1436,656,1770491.75,2024-01-14
379,625,2359,727069.28,2022-11-04
380,655,1336,1582766.5,2022-09-18
381,1153,1612,995112.69,2024-09-22
382,1379,2884,1041490.36,2023-05-18
383,2755,1142,646210.01,2022-12-12
384,2025,1541,641579.68,2023-01-27
385,912,315,750709.02,2022-10-09
386,1772,2466,1901480.0,2023-03-19
387,378,1217,916174.18,2025-03-13
388,1518,1450,378199.73,2024-02-02
389,2438,220,341680.98,2023-11-04
390,846,1577,1550125.1,2024-10-16
391,1386,923,112030.74,2024-11-06
392,1455,1156,1059061.31,2023-07-02
393,650,836,431429.87,2024-10-17
394,1807,653,1136095.05,2022-07-13
395,1048,1790,1385758.37,2025-06-11
396,1738,1851,1136919.22,2024-02-26
397,1573,515,1611845.7,2025-05-11
398,686,1677,560345.2,2024-02-01
399,2859,1974,359873.13,2023-04-12
400,1597,303,1403095.93,2023-03-25
401,2020,1246,244686.28,2022-12-14
402,2638,1804,1159814.43,2025-05-20
403,2409,49,1558803.66,2023-01-30
404,1137,1457,1230921.36,2023-03-18
405,1374,681,1412638.63,2022-11-02
406,585,1206,1066150.95,2023-03-16
407,2966,700,478074.26,2024-07-07
408,2835,178,1851398.23,2024-01-30
409,1475,2447,127035.42,2022-07-13
410,1749,1068,593150.32,2025-03-29
411,604,1501,1546107.69,2022-07-26
412,1184,2476,1359536.3,2024-07-05
413,1843,2181,1788360.98,2024-11-06
414,216,1538,1697350.61,2024-02-07
415,1114,940,1032705.23,2025-06-06
416,1976,341,1570699.01,2024-07-15
417,2529,2683,696878.93,2024-11-28
418,1631,164,1357532.06,2024-03-18
419,2846,2650,580872.75,2024-07-31
420,775,1189,127500.28,2024-10-14
421,2096,2550,1620495.98,2023-02-02
422,1990,910,1251723.82,2023-07-15
423,284,445,195878.99,2023-04-13
424,1754,191,747675.5,2023-03-30
425,504,1426,94572.67,2025-02-09
426,1557,1406,1100487.22,2024-06-18
427,961,2319,552380.22,2022-07-07
428,2470,1518,894643.05,2022-12-31
429,759,377,354917.86,2022-08-11
430,393,2619,1554867.85,2025-04-17
431,2995,2793,1688393.97,2024-06-17
432,1303,1147,517758.06,2023-10-11
433,752,1045,517670.13,2025-02-21
434,20,383,185099.12,2023-11-17
435,1423,94,701914.5,2024-03-07
436,2772,1070,1384430.98,2022-08-14
437,876,2619,1554867.85,2024-07-24
438,1906,2503,968991.55,2023-08-08
439,250,2883,807840.98,2024-10-02
440,2150,1704,351208.81,2025-01-21
441,2245,110,444999.89,2024-10-30
442,2176,2097,786587.69,2022-12-20
443,987,1387,123339.81,2022-09-19
444,2160,2943,961998.49,2024-01-27
445,1513,1443,1584806.74,2024-10-28
446,2059,2642,1923172.59,2023-12-08
447,920,1750,292063.97,2024-07-29
448,1069,1314,510457.07,2022-11-03
449,1077,2596,1201026.97,2024-03-19
450,2302,1837,467017.77,2024-02-03
451,1529,2511,1125955.65,2023-09-07
452,1839,2353,902762.7,2023-07-11
453,2315,2914,104497.7,2024-11-26
454,1979,1065,1698117.69,2022-12-19
455,545,1432,619084.1,2023-12-24
456,1198,664,1590594.34,2024-01-14
457,2589,2380,1560942.3,2023-03-28
458,2655,237,516588.81,2023-03-18
459,2996,1243,926359.53,2023-10-11
460,873,1576,1596628.62,2023-09-15
461,2172,687,1906965.89,2023-09-12
462,1956,1338,390218.19,2024-08-03
463,1654,2110,428431.51,2022-09-27
464,1048,2397,1296297.13,2024-10-30
465,2027,2753,1366109.77,2024-02-14
466,2163,1343,1731557.69,2024-11-13
467,253,2838,101782.75,2022-11-16
468,1856,2141,699970.45,2023-10-31
469,2626,1766,1200106.76,2024-04-26
470,1972,743,673260.81,2025-04-22
471,1301,953,1738645.73,2024-11-22
472,233,2096,559974.41,2025-02-25
473,439,1367,1370846.37,2023-12-04
474,2171,24,193586.41,2025-03-11
475,2226,1656,516370.93,2025-04-27
476,1799,2140,653140.37,2024-03-25
477,2764,2439,1659551.79,2023-07-30
478,1072,1529,1115697.64,2024-10-27
479,444,441,476641.43,2023-03-22
480,2468,912,556060.82,2024-09-21
481,2783,651,1727651.17,2023-01-06
482,1161,1691,372326.98,2024-08-09
483,1976,291,666825.49,2025-02-09
484,2645,2925,1970428.94,2023-07-10
485,2632,2305,1657278.82,2025-03-12
486,2527,2431,1001686.25,2024-03-26
487,633,1902,795393.26,2024-12-01
488,1378,701,1514004.53,2023-04-04
489,887,1799,682786.44,2024-03-15
490,433,84,513930.51,2024-07-25
491,35,2965,365092.21,2025-03-25
492,602,2983,1282494.99,2023-09-22
493,2551,1508,819127.2,2023-01-29
494,2509,2625,432822.21,2022-06-29
495,1580,781,1428158.05,2024-01-16
496,1304,303,1403095.93,2022-08-08
497,2292,1991,1699224.11,2024-10-18
498,1438,1854,1192430.21,2023-08-14
499,228,1501,1546107.69,2022-09-13
500,836,742,1936603.24,2023-01-02
501,171,2305,1657278.82,2022-07-23
502,2943,1007,512247.79,2023-12-10
503,1542,313,1598915.73,2025-04-28
504,907,2802,1803335.56,2023-08-08
505,2586,83,949385.95,2022-11-16
506,267,1182,1957331.63,2025-04-13
507,1277,1669,740376.34,2022-07-15
508,1121,444,849811.0,2023-09-10
509,2547,1976,1625718.02,2023-08-13
510,646,2909,965037.97,2023-02-13
511,2312,2690,1503792.51,2022-12-05
512,1184,291,666825.49,2024-08-28
513,2695,235,874726.34,2023-10-09
514,866,1751,652525.34,2023-10-09
515,2020,1344,1594146.6,2023-08-04
516,2174,59,503558.03,2023-07-25
517,1588,2328,1486849.6,2024-02-04
518,2950,910,1251723.82,2023-08-22
519,630,2905,1963465.46,2023-06-04
520,2991,2962,1254632.27,2025-01-28
521,2148,2423,1223395.19,2025-05-02
522,1091,164,1357532.06,2022-07-29
523,291,375,837221.98,2024-10-11
524,1869,318,163421.61,2023-05-21
525,777,139,1878624.3,2023-04-22
526,1018,2896,451863.09,2022-07-01
527,1985,115,1245697.84,2024-10-29
528,2536,1884,549641.9,2024-03-05
529,416,2167,1291897.77,2025-03-15
530,1084,1688,1623351.71,2023-05-24
531,1880,2421,1977397.38,2024-06-29
532,234,2261,1731061.66,2023-01-22
533,1906,1951,646768.68,2024-07-21
534,2860,959,1321495.93,2022-10-18
535,1949,886,618773.18,2024-11-09
536,2610,433,1556100.23,2024-06-03
537,1705,2340,886351.93,2023-01-20
538,587,1833,1582276.25,2025-04-09
539,1414,2497,954316.01,2022-12-03
540,694,2009,551301.14,2024-12-08
541,1268,1695,434826.29,2022-10-27
542,194,346,114710.11,2023-01-30
543,177,67,715184.33,2024-01-21
544,1638,2611,363151.87,2023-03-01
545,2496,2670,1471099.8,2025-04-08
546,1813,1928,732001.66,2024-04-16
547,1197,212,812343.87,2024-12-22
548,7,2435,294402.87,2024-12-21
549,2823,1893,1691476.75,2022-07-03
550,226,259,600247.28,2023-09-16
551,2104,883,859797.46,2022-11-02
552,542,1518,894643.05,2024-05-19
553,2580,2768,1434980.25,2025-02-25
554,2823,1632,1817021.18,2024-07-23
555,1562,293,1880308.94,2023-08-12
556,2229,36,1813939.26,2024-04-30
557,1548,385,669932.12,2025-04-28
558,14,2158,1490056.91,2024-01-25
559,1388,999,124746.52,2022-09-01
560,1859,168,124262.89,2023-03-02
561,27,2047,1373269.03,2023-10-03
562,256,85,1397616.21,2023-11-27
563,411,26,1515723.49,2023-10-04
564,614,576,246398.57,2024-02-25
565,543,2970,522652.47,2022-07-23
566,479,694,362672.08,2023-02-15
567,2877,1622,1306106.11,2023-11-17
568,2293,894,1326128.38,2025-04-29
569,2516,172,1173074.74,2023-10-02
570,1306,393,1080638.03,2023-06-07
571,147,500,972504.97,2023-09-11
572,314,2237,1869448.46,2024-02-03
573,280,1552,453961.02,2022-07-16
574,2320,803,890220.5,2022-12-10
575,1101,2975,1451611.28,2024-03-16
576,2409,459,82347.04,2024-06-09
577,22,1565,1054592.18,2025-06-04
578,1898,1788,393617.02,2024-01-29
579,2524,2123,1141024.41,2022-11-01
580,1954,266,374933.04,2024-12-01
581,163,451,985350.63,2024-08-31
582,1154,2515,905373.37,2023-05-23
583,1249,326,1105023.83,2022-09-18
584,335,1744,1124293.36,2023-09-25
585,940,736,1711619.62,2024-11-02
586,2289,614,1033608.82,2023-04-09
587,622,1487,1411357.79,2023-04-05
588,460,2325,1764347.75,2025-04-06
589,1562,1054,942848.61,2022-12-22
590,554,2417,637938.71,2022-09-21
591,1350,2077,1013090.07,2023-07-20
592,2586,1582,1211519.17,2024-11-02
593,498,1773,275850.52,2024-09-05
594,1828,598,1474031.75,2024-06-30
595,445,258,1038263.84,2023-03-24
596,1986,81,1601866.0,2025-05-14
597,639,1339,635510.11,2023-02-07
598,1038,1235,571170.53,2024-01-22
599,2438,1600,279383.95,2024-01-05
600,1295,1339,635510.11,2024-10-19
601,148,644,1661026.75,2025-03-08
602,2893,1129,776142.44,2024-12-21
603,642,2933,1549557.08,2024-09-05
604,343,2123,1141024.41,2024-02-22
605,2718,582,884406.89,2024-08-04
606,1334,1079,562837.43,2023-03-05
607,2608,2150,1908993.07,2024-05-11
608,207,1358,1883033.78,2024-10-20
609,2849,1912,1782524.41,2023-02-19
610,1415,2531,830650.33,2023-02-16
611,1347,9,1473069.73,2022-08-06
612,699,1206,1066150.95,2023-04-08
613,581,1032,174417.97,2022-10-23
614,2666,567,1303373.08,2025-05-12
615,1716,882,1231694.33,2024-04-10
616,1004,1536,1623280.26,2023-09-23
617,735,931,320196.52,2023-04-15
618,473,2702,1407630.93,2022-06-22
619,1897,2578,535446.89,2022-08-04
620,1313,1178,1238727.88,2023-12-31
621,2062,1814,680328.81,2022-08-30
622,2039,512,1324055.93,2024-01-29
623,2812,796,1345346.78,2023-12-27
624,630,10,1588498.58,2024-03-15
625,634,69,1936744.33,2023-11-21
626,1641,370,1119073.0,2023-04-26
627,2828,846,1413381.08,2023-12-02
628,2522,2612,136954.35,2022-09-22
629,534,59,503558.03,2022-12-27
630,963,434,837562.53,2024-06-06
631,2147,1702,1241516.75,2024-08-28
632,1842,1743,338186.26,2023-04-18
633,2999,1894,1709007.96,2024-12-29
634,1148,1259,132432.31,2024-06-26
635,2122,685,1562245.48,2023-04-20
636,729,2091,1179734.92,2024-05-23
637,2004,2272,1851858.06,2023-03-21
638,45,2044,1856934.57,2022-07-28
639,800,2519,1555680.32,2023-06-17
640,254,180,1588284.02,2023-02-13
641,1226,2508,508489.53,2024-03-08
642,1772,944,1214309.69,2022-07-19
643,129,2859,728278.86,2023-11-09
644,2370,1584,1718927.18,2023-12-20
645,1710,1604,1337101.52,2023-02-24
646,1840,1790,1385758.37,2023-12-18
647,716,2326,1931556.38,2023-07-16
648,1550,130,208004.67,2022-11-26
649,2592,642,307316.8,2022-07-19
650,2905,2494,702081.7,2025-03-04
651,1779,2666,1148224.44,2024-06-17
652,1278,2499,1163504.07,2025-05-20
653,2451,288,1223923.21,2023-02-11
654,2611,171,231830.11,2022-07-13
655,1053,2928,308979.71,2022-08-03
656,2019,504,289581.59,2025-04-12
657,1700,1220,595836.55,2024-04-11
658,2439,1343,1731557.69,2023-02-20
659,1053,1314,510457.07,2025-01-20
660,2614,2057,1537924.09,2025-02-26
661,1085,1248,872101.37,2023-03-25
662,1668,1410,1232676.97,2022-07-10
663,1917,1892,1257489.4,2023-10-30
664,2937,484,1029916.01,2024-06-17
665,1005,2818,197370.79,2024-11-20
666,2594,1845,1296515.02,2025-05-27
667,456,1412,1161151.22,2024-07-19
668,810,1044,562615.4,2024-02-20
669,686,1908,195065.6,2023-03-13
670,2057,2384,1412633.04,2024-12-04
671,868,2604,223686.23,2023-08-25
672,715,2135,1302096.54,2022-11-13
673,1902,881,1116486.85,2022-08-19
674,599,711,1919173.22,2022-08-21
675,1919,1547,1351453.05,2024-04-02
676,1746,1313,1271210.01,2023-08-26
677,1053,2189,807595.71,2024-12-23
678,2587,1186,182598.68,2022-06-23
679,525,2047,1373269.03,2024-12-07
680,1250,2434,1282894.85,2024-11-25
681,1187,1755,823998.43,2024-03-13
682,2821,1251,892629.8,2024-01-03
683,1404,2573,1516483.1,2023-09-22
684,1127,2653,1066782.27,2023-10-24
685,241,775,432448.46,2024-12-28
686,2989,124,567212.11,2023-07-17
687,2950,115,1245697.84,2023-11-18
688,637,2635,510716.13,2025-01-25
689,411,1230,722921.77,2024-06-23
690,958,1576,1596628.62,2025-01-21
691,1703,1337,1993008.85,2024-07-25
692,2308,1204,594050.76,2025-04-20
693,1471,825,1710232.96,2023-08-15
694,2270,2266,1322766.23,2022-10-14
695,706,881,1116486.85,2024-06-19
696,559,1020,686784.11,2022-08-05
697,1252,1364,1057748.52,2023-06-09
698,2963,1003,906335.35,2023-09-13
699,895,1430,432909.68,2023-10-12
700,1588,1709,1066581.96,2022-08-08
701,2109,664,1590594.34,2022-08-06
702,543,2146,1152614.23,2022-06-17
703,2453,1702,1241516.75,2025-05-21
