neighborhood_id,name,school_rating,air_quality_index,crime_float
76,Alyssaland Park,5,50.1,5.44
77,Wilkersonberg Heights,3,63.5,4.79
78,Port Christopher Gardens,2,56.1,9.5
79,Lake Timothy Bay,8,79.4,2.76
80,Laurenmouth Heights,3,50.5,9.54
81,Markborough Village,10,58.0,8.76
82,East Mariamouth Gardens,6,63.1,8.41
83,North Kristenside Bay,10,33.6,3.89
84,East Baileyburgh Bay,4,67.9,2.6
85,North Daniel Gardens,6,49.1,7.25
86,New Danielle Gardens,10,98.2,3.93
87,East Caitlinport Village,7,56.5,9.39
88,Jamesview Park,10,119.7,2.62
89,West Michellemouth Ridge,9,22.7,7.54
90,South Christine Bay,4,63.8,3.62
91,North Jenniferfurt Bay,2,101.9,8.16
92,Wilsonmouth Gardens,8,33.9,3.73
93,Robbinsside Village,3,91.5,8.1
94,Veronicaburgh Heights,8,119.1,5.31
95,Williamburgh Gardens,9,70.7,9.28
96,East Joshuahaven Bay,7,74.4,8.12
97,West Michellebury Village,9,79.4,9.23
98,Pughfurt Heights,4,85.8,4.2
99,Lake Matthewville Bay,10,24.4,9.85
100,West Bethside Bay,7,116.7,3.98
101,Johnhaven Ridge,7,30.6,1.89
102,Jonathonville Park,9,94.7,6.02
103,Jamiehaven Bay,10,42.1,4.37
104,East Meghan Gardens,10,89.0,2.36
105,East Paulview Heights,8,30.5,4.74
106,North Sarah Heights,2,103.1,7.57
107,North Glennton Village,5,54.3,8.06
108,Lake David Estates,8,54.8,1.88
109,Port Cynthia Bay,8,51.9,3.7
110,Erikamouth Ridge,2,22.3,4.09
111,Sharonville Heights,3,113.0,7.66
112,Jasonberg Estates,3,75.2,3.98
113,Ryanville Gardens,8,43.2,4.65
114,Darrellside Park,3,84.0,4.89
115,North Megan Heights,10,108.3,5.05
116,Port Stephaniemouth Gardens,7,20.4,2.93
117,South Charleshaven Village,2,77.7,8.2
118,Carriechester Estates,3,56.6,2.77
119,East Sarah Heights,5,87.1,5.41
120,New Lisa Bay,6,79.7,6.5
121,Selenaside Estates,2,54.8,8.61
122,Pinedahaven Estates,3,101.4,7.35
123,Amandaville Village,10,79.0,7.05
124,Sethtown Village,2,43.9,2.05
125,West Vincentfurt Village,3,71.1,4.76
126,Port Ellenstad Park,10,58.4,2.67
127,Lake Wendy Bay,9,89.3,6.81
128,East Kyle Park,9,36.7,3.6
129,Robertbury Park,6,104.2,6.57
130,Kimberlyburgh Ridge,6,115.2,5.36
131,Thompsonland Park,7,116.4,5.55
132,Heathermouth Gardens,7,88.5,4.74
133,Englishside Ridge,8,68.9,1.74
134,Christianton Heights,4,49.2,3.47
135,South Larry Estates,5,36.8,5.12
136,North Bradley Bay,8,75.0,2.02
137,Lake Sarah Heights,5,97.5,8.41
138,North Calebstad Village,9,102.3,1.37
139,Martinborough Bay,8,74.6,9.91
140,Ashleyberg Heights,4,49.8,9.99
141,Marthaview Gardens,5,54.9,8.35
142,Williemouth Gardens,2,97.6,3.13
143,Lake Cheryl Ridge,10,88.9,8.75
144,East Amber Estates,7,36.6,2.25
145,Kennethtown Park,4,100.5,6.13
146,Rogersborough Estates,5,79.7,2.52
147,Bellburgh Bay,5,48.9,3.41
148,Deannaton Ridge,9,118.5,7.11
149,Gonzalezland Heights,3,116.3,8.07
150,Ramirezburgh Heights,5,106.7,2.14
151,Christinafort Ridge,3,45.0,7.4
152,Port Jamesshire Ridge,4,96.1,7.09
153,New Jennifertown Gardens,3,77.7,3.42
154,New Lisaview Gardens,7,65.2,6.7
155,West Cynthiafurt Ridge,2,60.3,7.75
156,South Matthew Bay,6,65.5,5.39
157,West Rickystad Estates,1,106.9,8.62
158,Sandersview Heights,8,83.5,7.28
159,New Jacob Ridge,2,99.6,4.58
160,West Davidmouth Gardens,4,69.5,3.91
161,Vanessafort Village,6,74.7,2.18
162,Kathymouth Ridge,8,98.8,9.05
163,South Zacharytown Ridge,1,24.6,6.64
164,Port Corey Ridge,8,21.6,9.36
165,Katrinachester Park,8,65.7,9.93
166,Floydhaven Gardens,4,119.6,9.18
167,South Johnville Bay,5,35.9,9.39
168,West Brianaberg Village,2,85.5,3.25
169,New Sheena Village,3,25.2,6.63
170,Kellymouth Bay,4,62.9,1.82
171,New Jordan Heights,1,41.3,1.7
172,Hollowayport Estates,4,71.9,5.01
173,South Aaronfort Heights,6,101.7,9.89
174,West Thomasview Gardens,3,67.8,3.06
175,Rileyland Heights,2,30.3,4.31
176,West Davidland Village,3,58.3,8.32
177,New Jason Ridge,3,84.2,7.09
178,Dannyville Heights,9,76.3,6.49
179,Gibsonmouth Park,8,55.1,2.92
180,South Patriciaview Bay,3,112.0,6.54
181,Johnsonfort Gardens,4,28.7,1.9
182,Brownton Ridge,2,79.0,4.46
183,Lake Jason Gardens,6,99.1,3.23
184,West Davidberg Bay,2,44.8,6.41
185,Christopherville Bay,10,48.5,9.47
186,New Nathanfurt Heights,5,40.5,6.46
187,Campbellside Park,7,49.6,1.49
188,Aaronchester Ridge,4,69.5,2.01
189,West John Gardens,10,27.1,9.0
190,Lake Jamiefurt Heights,6,113.4,2.19
191,East Kevinville Ridge,10,62.1,5.92
192,Bradleytown Park,8,115.4,7.93
193,East Cynthiaton Heights,10,26.8,3.36
194,West Peggymouth Heights,1,114.9,4.58
195,Williamsborough Village,9,96.7,4.81
196,Morganton Gardens,2,84.1,5.84
197,New Brianna Park,5,28.4,1.71
198,Harrischester Park,3,73.6,4.52
199,Millerburgh Bay,2,51.0,4.94
200,South Ashleyfort Ridge,4,25.8,1.78
201,Moniqueport Gardens,2,65.3,6.48
202,New Conniefort Village,3,31.9,7.37
203,Charlesberg Bay,1,36.4,9.58
204,South Desiree Estates,9,98.3,7.49
205,West Janemouth Park,6,32.7,8.03
206,Johnsonside Village,2,97.1,1.26
207,Seanfurt Ridge,7,47.2,1.57
208,Florestown Bay,10,82.8,5.47
209,Lake Dylan Estates,6,25.5,8.73
210,Kennethborough Park,6,35.7,7.96
211,Raymondshire Estates,2,42.8,5.58
212,Troyville Heights,1,44.5,5.25
213,New Jason Gardens,3,37.9,9.64
214,West William Heights,9,100.3,7.43
215,New Michelle Bay,7,42.5,3.23
216,South Michael Bay,6,47.1,1.7
217,Jenniferview Village,2,70.2,9.12
218,East Kimberlychester Park,4,100.4,9.83
219,Timothyside Gardens,2,107.7,8.79
220,South Laura Ridge,5,52.7,5.98
221,Port Kerry Heights,6,40.1,6.07
222,Hendrixborough Village,10,44.3,4.31
223,Smithmouth Gardens,4,93.2,5.92
224,Lake Jamie Ridge,4,35.1,9.39
225,Jenniferport Heights,4,74.2,6.72
226,Butlerport Bay,1,115.1,1.01
227,South Aliceshire Bay,7,104.9,7.54
228,East Michaelhaven Heights,4,73.0,3.14
229,East Stevenhaven Gardens,1,117.3,2.28
230,Danielstad Village,2,24.4,3.08
231,North Greg Ridge,9,61.3,9.06
232,Lake Ericaside Gardens,2,78.1,5.55
233,East Kimberlyborough Bay,7,27.5,6.11
234,Loriborough Gardens,3,43.7,3.35
235,West Lisa Village,7,90.1,7.62
236,Huffmanhaven Village,8,47.2,1.67
237,Port Matthewbury Park,3,98.0,6.26
238,South Shawnberg Park,2,36.4,5.19
239,Jocelynview Gardens,2,73.6,9.68
240,Jessicaborough Park,8,50.8,3.39
241,Scottport Heights,2,35.8,7.17
242,Port Christinaville Ridge,10,24.0,8.52
243,Floresfort Village,3,29.1,3.23
244,Stevenfurt Village,7,71.3,7.09
245,East William Village,3,23.1,4.64
246,Garciahaven Gardens,9,94.8,3.25
247,North Lisa Gardens,2,100.4,2.26
248,Nelsontown Heights,1,103.0,9.84
249,Alejandroview Park,4,102.4,4.35
250,North Cherylborough Bay,2,78.2,3.33
251,Brownshire Ridge,2,22.2,1.58
252,Garyhaven Bay,8,100.9,1.83
253,Elizabethside Ridge,6,32.3,9.48
254,East Isaacview Heights,3,112.4,4.9
255,Mcintyreberg Bay,7,69.6,4.44
256,New Jennifer Gardens,3,55.4,9.17
257,East Cameronhaven Village,5,64.6,2.34
258,Evanstown Estates,10,81.7,6.83
259,Lake Melissaview Gardens,7,108.3,5.31
260,Kellerville Heights,5,58.3,4.77
261,Turnerfurt Bay,9,44.9,9.95
262,East Patriciaburgh Estates,1,118.9,8.04
263,East Lance Village,8,74.5,5.36
264,New Kristentown Estates,9,52.2,3.43
265,North Laurenton Heights,6,79.7,1.26
266,Rodgersview Ridge,5,25.9,9.92
267,Vanessaburgh Estates,6,96.7,10.0
268,Stephanieport Park,2,44.8,3.17
269,Kristinehaven Estates,1,96.4,9.53
270,Lake Rachelborough Estates,7,55.5,8.55
271,Lake Ryanfort Ridge,3,37.6,6.33
272,South Brendachester Ridge,6,111.4,1.25
273,South Edward Bay,6,114.8,6.07
274,Colinhaven Estates,4,103.7,8.29
275,Andreaborough Gardens,9,50.9,5.41
276,Lake Davidville Heights,1,43.3,2.97
277,Aguilarside Estates,8,20.1,9.26
278,West Debra Park,3,54.1,2.6
279,South Sydney Ridge,6,26.0,2.33
280,Port Heather Bay,3,97.4,8.62
281,New Andrewborough Ridge,6,116.1,4.36
282,Hallmouth Bay,7,78.6,4.03
283,Omarhaven Village,3,117.6,7.59
284,New Caseyton Gardens,8,84.9,2.57
285,Georgeview Estates,10,98.7,3.01
286,North Linda Estates,3,57.8,7.61
287,Carneytown Village,3,37.8,1.02
288,Cartermouth Bay,10,59.2,9.95
289,Leeside Estates,1,38.2,3.86
290,Hodgesside Ridge,10,42.1,6.09
291,Brycemouth Gardens,3,53.1,1.7
292,New Richardfort Village,6,36.8,8.97
293,Richardsview Heights,6,64.7,3.39
294,Annville Park,2,55.0,8.08
295,South Colton Bay,1,24.8,4.94
296,Lake Meredithmouth Gardens,3,108.5,5.44
297,Edwardfurt Gardens,6,74.6,1.91
298,Lewisburgh Gardens,10,85.1,7.18
299,Hardinview Park,8,27.4,8.61
300,Amyland Village,1,51.9,9.56
301,Clintonport Heights,6,37.0,4.38
302,East Kristachester Bay,2,74.7,9.08
303,South Kennethton Heights,6,79.4,6.52
304,New Angela Gardens,1,63.1,6.88
305,East Monicatown Estates,7,35.7,1.91
306,New Ian Park,4,60.9,5.99
307,West Luke Bay,9,46.5,3.53
308,Port Daniel Park,2,25.0,6.15
309,Bryanfort Ridge,8,35.4,4.25
310,East Brandonville Gardens,2,49.5,6.96
311,West Josephmouth Estates,8,40.0,1.23
312,Spencerport Park,5,117.7,5.26
313,Wellsmouth Heights,5,98.5,5.24
314,South Michael Bay,5,29.1,5.9
315,Lake Kimberly Park,6,108.5,4.32
316,Port Andrew Gardens,1,46.3,5.19
317,Priceborough Park,5,76.4,2.36
318,Mccormickbury Bay,2,28.6,4.09
319,East Heatherburgh Estates,7,117.1,6.31
320,East Sergioton Estates,1,104.1,8.37
321,Port Andrewchester Gardens,9,88.7,9.43
322,Emilychester Estates,4,67.6,1.71
323,New Seth Ridge,1,70.2,9.1
324,Katherinefurt Ridge,10,87.8,6.58
325,Prestonchester Heights,8,37.3,9.86
326,West Angelatown Park,4,32.6,4.81
327,North Amyhaven Bay,7,40.2,8.4
328,Coleborough Park,10,45.8,9.2
329,Ronaldbury Ridge,2,28.7,6.01
330,Smithville Estates,6,105.7,5.68
331,Lake Lindseyburgh Ridge,1,98.7,6.61
332,Lake Randallborough Estates,7,31.3,2.35
333,North Jennifer Estates,10,78.3,9.68
334,Christophermouth Heights,2,76.3,1.91
335,Port Laura Village,9,108.0,8.9
336,North Davidbury Village,7,85.5,6.15
337,Julietown Gardens,1,37.2,4.63
338,West Charles Estates,10,88.1,4.62
339,Josechester Gardens,6,89.1,1.44
340,Carolberg Gardens,5,109.7,1.18
341,West Paul Ridge,5,51.1,8.59
342,Baileyshire Ridge,2,117.2,3.05
343,North Marybury Village,8,97.4,3.89
344,Shawnstad Bay,7,80.5,1.8
345,Mooreton Gardens,4,111.3,4.66
346,South Thomasberg Gardens,9,106.7,8.39
347,East John Estates,3,26.6,7.39
348,Port Nathanhaven Gardens,3,98.1,5.72
349,West Linda Estates,1,37.4,8.88
350,East Heather Park,1,44.9,5.11
351,East Cherylborough Village,4,47.4,8.41
352,South Patricia Estates,7,83.5,2.11
353,Robertsontown Heights,4,57.2,6.35
354,Lake Ashlee Park,8,78.7,4.15
355,West Jordanburgh Park,5,94.9,7.2
356,East Christopher Village,1,58.7,2.47
357,Port Gabrielleport Estates,4,105.7,6.83
358,Port Tyronefurt Bay,4,46.9,4.69
359,Grayport Heights,1,67.4,2.19
360,Jonesville Park,10,100.1,3.01
361,North Stevenbury Estates,5,91.3,7.38
362,Port Patriciabury Village,7,109.5,8.66
363,Sotoberg Gardens,5,41.8,3.72
364,South Davidshire Estates,10,59.7,1.92
365,North Loriberg Estates,6,76.1,6.34
366,Port Shanehaven Village,5,88.4,5.34
367,Galvanside Village,5,84.1,8.75
368,Estradastad Village,5,38.8,5.66
369,West Jameston Park,1,100.5,8.22
370,New Benjamin Estates,7,86.1,7.13
371,East Crystalburgh Bay,1,85.5,9.98
372,East Corey Village,7,60.5,7.63
373,Tannerburgh Estates,10,101.6,4.09
374,Nicholston Bay,4,88.6,6.74
375,West Brittneymouth Gardens,6,70.7,8.61
376,South Meganchester Ridge,9,38.1,1.88
377,North Rachel Park,5,92.5,6.03
378,North Samuel Park,6,85.4,3.0
379,Lake Elizabethhaven Park,5,62.0,8.98
380,New Michelle Village,5,78.6,5.17
381,Lake Coreyshire Heights,8,25.4,6.71
382,New Allenchester Estates,10,27.1,9.0
383,East Alexander Estates,2,106.7,4.44
384,Robertburgh Village,7,25.4,8.69
385,Brownborough Park,4,54.3,9.88
386,East Debbie Gardens,3,51.6,7.44
387,New Ashley Ridge,2,68.8,6.68
388,Lake Nathaniel Park,6,83.4,1.04
389,New Jamie Village,4,96.1,2.52
390,Reynoldston Ridge,3,69.0,7.87
391,Popetown Heights,3,81.4,6.7
392,Staffordmouth Gardens,7,116.5,4.45
393,New Joshua Heights,9,39.9,4.36
394,Kevinview Heights,6,95.7,5.78
395,Lorimouth Heights,1,82.7,3.24
396,Sloanside Bay,6,51.2,1.92
397,North Briana Estates,10,50.6,1.59
398,Lewisside Heights,5,114.8,5.1
399,Swansonberg Estates,10,72.4,4.9
400,Samanthaport Bay,3,54.3,9.11
401,Port Audrey Village,4,36.5,9.16
402,Thomasbury Ridge,7,21.9,3.02
403,East Reginaldside Park,4,93.4,6.31
404,Davidhaven Park,2,56.7,6.85
405,Port Nancy Heights,7,107.7,3.3
406,Hintonmouth Estates,10,24.9,9.95
407,Gregoryshire Bay,2,85.4,1.18
408,Melissabury Bay,2,61.7,4.42
409,Myersview Estates,5,67.4,2.38
410,Waynehaven Bay,1,50.1,6.95
411,Timothyburgh Bay,9,47.0,6.45
412,Bellport Park,7,103.1,1.94
413,Christopherfurt Bay,10,31.8,2.03
414,Murraytown Heights,8,39.9,2.8
415,Port Natashahaven Village,9,117.3,4.22
416,Port Kyle Gardens,5,36.0,5.93
417,South Kimberly Park,8,53.1,1.02
418,North Kylefurt Bay,2,110.7,8.52
419,Smithmouth Bay,8,34.9,1.81
420,New Jonathanmouth Estates,2,92.4,1.91
421,Griffinfort Village,4,65.7,9.8
422,West Reneechester Village,8,25.0,8.32
423,Johnsonbury Ridge,1,105.2,4.24
424,Michaeltown Bay,6,62.6,2.04
425,South Dominic Ridge,1,21.0,2.25
426,East Christian Bay,3,52.9,9.05
427,New Jordan Estates,5,107.8,1.84
428,Owenville Ridge,6,38.3,4.61
429,East Theresa Gardens,5,103.6,7.21
430,Ashleyfurt Gardens,7,84.9,8.17
431,West Francisco Heights,3,89.6,1.53
432,Ambershire Ridge,3,30.4,9.2
433,Jonesfurt Gardens,10,87.8,2.63
434,Schultzborough Gardens,6,81.1,8.76
435,Cherylside Ridge,3,68.3,5.39
436,Donnamouth Gardens,8,24.6,3.35
437,Mayoville Village,1,90.5,7.1
438,North Kelly Ridge,10,92.4,3.02
439,Alexishaven Bay,6,71.9,7.19
440,North Jodiland Estates,2,63.3,7.54
441,East Erin Gardens,6,86.4,6.77
442,Lake Joeburgh Park,9,109.2,6.52
443,South Emilyport Heights,3,70.6,5.22
444,South Pam Gardens,3,27.5,5.42
445,Spencermouth Park,6,117.0,1.45
446,New Robert Park,9,84.3,4.63
447,Shaneton Park,2,65.9,8.21
448,Grayton Gardens,2,105.7,5.02
449,Michaelburgh Heights,8,94.5,1.16
450,East Pennychester Gardens,7,23.6,5.94
451,Villegasshire Ridge,2,99.2,9.67
452,Shaneshire Bay,5,109.0,6.06
453,South Chad Bay,8,115.0,4.27
454,Port Amanda Heights,4,104.4,3.99
455,Duncantown Ridge,10,80.0,7.45
456,Martinfort Village,8,31.4,7.83
457,Lake Kenneth Park,1,54.1,8.47
458,Michaelfurt Ridge,5,74.8,4.37
459,East Carloshaven Heights,1,109.7,5.43
460,South Jackborough Ridge,7,30.7,6.5
461,Watersstad Park,2,113.0,4.54
462,Wrightshire Gardens,4,91.7,1.97
463,East Williammouth Gardens,1,112.7,8.54
464,Olsenview Estates,2,97.2,5.05
465,Lake Carlos Bay,10,115.6,2.21
466,Cranefurt Gardens,1,73.0,1.44
467,West Jonathan Gardens,10,68.3,5.57
468,Morganberg Park,10,37.4,8.34
469,Williamfurt Heights,7,85.8,6.46
470,Amymouth Village,9,108.1,4.77
471,East Maria Estates,4,47.4,9.67
472,Ruthstad Village,8,100.5,2.24
473,Woodborough Estates,9,49.9,7.31
474,West Tamaraland Ridge,6,91.2,9.42
475,Port Kathryn Bay,4,40.1,6.62
476,Allenburgh Village,6,112.1,2.19
477,Millsmouth Bay,3,70.4,7.25
478,Nguyenbury Village,2,96.1,6.06
479,Wisebury Estates,10,114.3,7.39
480,West Brandonbury Bay,9,48.6,8.63
481,New Taylorchester Ridge,1,72.3,1.23
482,Ayalaberg Park,1,87.0,2.8
483,New Howard Ridge,3,118.4,7.15
484,Parkerchester Park,1,89.1,3.66
485,Baileyton Ridge,9,23.2,8.33
486,Jeremyside Heights,10,106.8,7.66
487,Yolandabury Ridge,4,94.2,6.05
488,South Michael Park,9,98.4,8.19
489,Dianaton Village,1,112.6,4.49
490,Jocelynburgh Ridge,6,116.6,1.48
491,Jonesstad Bay,5,40.3,8.82
492,Lake Alexander Ridge,8,103.0,9.2
493,Lake Kimberly Bay,6,95.5,5.92
494,Nicholasland Estates,4,97.6,9.68
495,Holmesburgh Village,8,37.7,7.14
496,Port Mathew Park,3,93.5,2.07
497,Port Heather Heights,7,47.9,3.38
498,West Shariburgh Park,10,104.6,1.05
499,Lake Nicole Gardens,3,24.0,9.36
500,Williamsstad Estates,1,97.4,6.63
501,Port Williamville Ridge,5,69.1,6.15
502,West Margaretberg Village,2,98.4,3.86
503,Ericville Park,3,72.1,8.08
504,Hardingberg Park,7,74.3,4.63
505,Lake Albert Village,4,108.3,6.97
506,Lake Gregory Village,6,49.4,9.55
507,Murrayberg Estates,9,67.5,6.05
508,Bryanton Ridge,1,31.5,4.11
509,Brooksfurt Park,10,111.9,3.19
510,Hernandezchester Heights,6,58.1,8.17
511,New Joshuaside Heights,7,45.7,7.52
512,Lake Anthony Heights,9,102.2,4.37
513,Thomasborough Ridge,9,64.6,1.39
514,Christophershire Bay,4,52.0,1.74
515,Brianhaven Heights,3,117.2,7.96
516,Hallville Estates,1,82.7,2.9
517,East Linda Bay,4,106.5,4.82
518,Port Jennifer Heights,4,73.8,7.32
519,Kellyville Bay,7,84.7,9.46
520,Larryhaven Bay,3,22.4,7.45
521,Nathanielport Heights,2,27.3,2.6
522,South Adamside Village,9,27.0,8.39
523,East Williamfurt Village,7,58.8,6.67
524,Sarahchester Gardens,6,21.7,7.06
525,Jamesland Estates,1,84.1,6.57
526,Alvaradoberg Ridge,10,24.6,8.63
527,West Krystalfurt Village,9,30.6,8.08
528,South Christopherfurt Village,10,28.7,7.89
529,Juliaview Gardens,7,59.5,6.95
530,New Adam Gardens,3,73.3,2.23
531,South Lauraside Gardens,9,49.5,6.71
532,Michaelborough Village,6,115.7,1.1
533,Port Jasmineland Ridge,9,34.1,1.38
534,Trevorville Estates,10,59.4,5.93
535,East Jennifer Heights,5,41.0,7.67
536,Jeffreyberg Bay,6,41.2,9.15
537,East Shellyland Ridge,9,34.2,2.66
538,Alexandraside Estates,5,39.4,2.63
539,Burnston Ridge,10,105.2,8.66
540,Sarahshire Estates,8,84.5,1.66
541,Thomasbury Bay,2,45.1,2.78
542,Lake Phillip Estates,8,115.2,4.21
543,East Frederickland Bay,4,30.0,6.58
544,West Ashley Park,6,68.6,3.96
545,Tiffanyberg Bay,5,89.3,2.37
546,West Patriciaburgh Estates,6,100.8,9.63
547,Thomasmouth Park,1,51.3,8.07
548,South Evanburgh Bay,7,47.7,4.24
549,Port Yvonneview Bay,6,107.8,5.17
550,Jillshire Village,5,68.7,1.98
551,Bushfurt Bay,10,28.2,3.53
552,Lake Renee Ridge,3,109.1,2.77
553,Port Zacharyshire Bay,2,92.7,9.03
554,East Sean Ridge,9,83.2,8.31
555,Pattersonburgh Estates,7,96.9,2.91
556,Vasquezstad Heights,9,46.1,9.05
557,Martinmouth Estates,8,85.4,2.34
558,South Alexland Gardens,4,109.1,6.31
559,Port Michael Ridge,5,33.4,5.51
560,Barrettville Heights,7,56.4,1.1
561,Cruzchester Park,10,88.4,7.81
562,Anthonyport Park,8,35.9,6.1
563,Lanetown Estates,3,93.6,5.35
564,Kathleenville Village,1,41.9,5.39
565,West John Heights,5,56.9,1.39
566,Lake Jamie Park,9,110.8,4.25
567,Lake Michaelton Gardens,8,108.2,1.36
568,Guzmanhaven Bay,6,30.3,9.72
569,Johnnybury Bay,5,103.5,3.37
570,Port Joshua Estates,10,37.4,6.88
571,Whitneyhaven Village,10,85.3,8.52
572,Vaughnfurt Estates,5,57.6,9.17
573,Port Elizabeth Estates,7,55.3,8.81
574,North Joshua Gardens,8,108.7,1.06
575,Oscarville Park,8,36.6,1.69
576,Sanchezside Bay,5,41.2,2.68
577,Stewartland Village,10,91.7,2.06
578,Johnburgh Park,7,101.1,7.48
579,Lake Christieburgh Gardens,8,67.9,6.32
580,Lake Crystalburgh Bay,7,22.2,1.39
581,North Jenniferview Estates,10,36.1,6.67
582,Deborahberg Heights,10,34.7,2.5
583,North William Park,9,115.8,6.39
584,Matthewshire Estates,1,107.9,7.55
585,North April Ridge,5,114.7,2.95
586,West Danielle Estates,8,106.7,2.54
587,Martinburgh Ridge,7,80.1,8.15
588,Lindamouth Ridge,3,82.3,5.6
589,East Karen Park,6,112.2,6.37
590,Prestonland Heights,4,57.8,2.19
591,Monicaberg Heights,4,72.3,9.18
592,Nathanielfurt Bay,7,102.7,6.45
593,Elizabethton Park,8,110.2,6.4
594,East Melissaberg Ridge,9,70.3,2.06
595,Hernandezside Gardens,3,110.2,5.85
596,New Randy Heights,7,72.2,4.33
597,Villegastown Heights,9,62.9,9.45
598,West Madison Gardens,7,55.1,8.24
599,Kristineville Ridge,10,29.8,2.2
600,Michaelport Gardens,4,111.0,1.75
601,North Jameston Estates,9,60.9,2.7
602,Donnaberg Bay,1,77.8,2.06
603,Rodneymouth Heights,7,85.5,7.19
604,North Joshuahaven Village,7,56.2,2.39
605,Sarahstad Bay,10,45.4,8.69
606,North Brandonberg Gardens,10,56.6,3.48
607,West Annetteberg Bay,7,95.5,4.72
608,East Paulfurt Ridge,9,68.2,4.33
609,Duaneview Estates,8,45.4,3.76
610,New Emilytown Village,7,93.6,8.69
611,South Whitney Bay,2,94.8,5.02
612,Erictown Bay,3,30.0,5.58
613,Tannerland Ridge,6,100.1,6.53
614,Thomasshire Bay,1,36.1,9.68
615,Nguyenport Heights,2,102.3,5.25
616,New Christianville Estates,7,28.8,3.37
617,Millerton Village,2,80.9,7.52
618,North Kimberlymouth Gardens,10,85.6,3.58
619,Charleshaven Estates,1,114.6,8.38
620,Martinfort Bay,8,63.9,2.82
621,East Matthew Bay,9,48.6,1.3
622,Lake Georgehaven Estates,9,71.6,3.09
623,Martinchester Park,1,56.0,6.9
624,New Stevenshire Park,2,119.7,8.02
625,New Theresa Village,7,60.5,2.8
626,New Dean Heights,2,111.9,5.95
627,Chadbury Bay,9,111.5,4.13
628,Port Christinatown Ridge,5,42.6,9.67
629,Lake Brenda Gardens,7,77.5,3.35
630,North Mariaview Gardens,9,30.6,1.65
631,South Stephanie Village,6,114.7,8.23
632,Jennifershire Village,9,101.3,6.17
633,Tylermouth Bay,8,116.6,6.07
634,Dennishaven Ridge,4,95.7,9.65
