inspection_id,property_id,buyer_id,date,feedback
94,138,945,2023-08-15,Good condition
95,809,343,2024-12-02,Excellent
96,265,2130,2023-10-03,Minor issues
97,379,1833,2023-09-18,Excellent
98,2415,2288,2024-02-07,Structural issues
99,1783,730,2024-12-23,Needs renovation
100,2811,1271,2025-01-26,Structural issues
101,1245,2596,2022-06-29,Minor issues
102,1718,1082,2025-03-24,Move-in ready
103,412,2499,2025-03-15,Excellent
104,2416,1419,2025-02-26,Structural issues
105,868,742,2025-05-21,Excellent
106,309,2454,2024-03-11,Structural issues
107,156,339,2022-12-12,Good condition
108,559,1653,2025-03-10,Needs renovation
109,870,1075,2022-10-04,Structural issues
110,549,594,2023-03-03,Minor issues
111,1992,2857,2024-02-26,Minor issues
112,225,2178,2024-06-06,Excellent
113,2365,1254,2022-11-16,Move-in ready
114,678,1732,2024-06-03,Structural issues
115,706,962,2023-02-26,Structural issues
116,2699,1477,2023-10-29,Move-in ready
117,1519,1082,2022-10-02,Needs renovation
118,2844,1140,2023-01-23,Excellent
119,2205,745,2023-09-21,Good condition
120,988,2141,2024-10-12,Move-in ready
121,18,481,2024-10-11,Good condition
122,1284,2655,2025-04-06,Excellent
123,1955,1661,2025-03-21,Structural issues
124,1133,409,2024-06-22,Move-in ready
125,1519,421,2023-02-16,Needs renovation
126,2551,2236,2022-06-25,Excellent
127,1510,1018,2023-07-25,Needs renovation
128,839,1928,2025-04-12,Excellent
129,58,2066,2024-01-14,Needs renovation
130,2498,2028,2025-01-06,Needs renovation
131,481,1896,2022-06-23,Excellent
132,684,1310,2022-10-09,Needs renovation
133,2792,2939,2024-01-13,Needs renovation
134,603,1142,2022-07-06,Needs renovation
135,1029,2862,2023-09-19,Needs renovation
136,394,838,2025-04-26,Structural issues
137,1432,1977,2024-01-08,Structural issues
138,1772,1335,2024-04-12,Minor issues
139,680,2260,2024-07-13,Good condition
140,2011,809,2024-10-25,Needs renovation
141,1532,78,2024-11-06,Good condition
142,1722,2906,2023-01-01,Excellent
143,2830,1335,2024-05-10,Excellent
144,2951,2144,2022-08-08,Good condition
145,1249,2124,2023-10-22,Needs renovation
146,2512,1199,2024-05-10,Good condition
147,1950,2781,2023-10-02,Structural issues
148,653,2128,2022-09-30,Minor issues
149,767,1497,2022-08-14,Move-in ready
150,1423,2137,2025-06-07,Minor issues
151,737,2362,2025-04-11,Needs renovation
152,1851,96,2024-12-23,Minor issues
153,645,2581,2023-10-07,Move-in ready
154,1480,2076,2023-01-03,Minor issues
155,2966,892,2023-10-16,Minor issues
156,80,2145,2025-06-07,Good condition
157,1505,1443,2023-01-19,Structural issues
158,545,2771,2024-07-22,Needs renovation
159,1713,589,2023-06-25,Needs renovation
160,2895,2722,2024-08-18,Good condition
161,1675,1885,2024-08-31,Excellent
162,83,261,2024-07-07,Good condition
163,1516,811,2023-03-01,Needs renovation
164,2605,1841,2025-02-10,Move-in ready
165,101,881,2025-05-29,Excellent
166,391,1170,2024-03-27,Minor issues
167,1953,1383,2024-09-03,Minor issues
168,2859,2232,2024-06-18,Structural issues
169,2854,2768,2024-05-20,Minor issues
170,867,1998,2023-03-24,Good condition
171,969,1801,2023-11-18,Structural issues
172,2408,2201,2025-04-18,Minor issues
173,33,2151,2023-10-11,Good condition
174,2828,1364,2022-08-03,Needs renovation
175,2073,755,2025-06-10,Structural issues
176,2390,2256,2024-12-07,Move-in ready
177,309,721,2023-05-02,Move-in ready
178,615,2682,2022-10-07,Needs renovation
179,2700,2506,2024-11-20,Minor issues
180,1353,1856,2023-09-06,Move-in ready
181,1490,800,2023-06-16,Move-in ready
182,1994,1594,2022-09-04,Excellent
183,1181,1361,2024-07-06,Good condition
184,650,2566,2024-08-29,Excellent
185,1571,634,2023-07-24,Needs renovation
186,628,50,2024-01-07,Structural issues
187,2691,842,2024-07-15,Excellent
188,1671,1051,2022-10-20,Move-in ready
189,1102,539,2024-05-01,Structural issues
190,2318,2815,2024-02-06,Move-in ready
191,1584,500,2024-04-29,Needs renovation
192,2121,233,2024-12-14,Minor issues
193,308,2290,2023-10-08,Move-in ready
194,1541,182,2024-08-19,Move-in ready
195,1772,2336,2024-01-25,Structural issues
196,2672,830,2024-12-29,Structural issues
197,2453,1078,2023-12-19,Excellent
198,305,152,2023-04-06,Minor issues
199,2696,2168,2022-08-22,Needs renovation
200,2125,2951,2023-07-14,Needs renovation
201,2525,578,2024-12-28,Good condition
202,1562,597,2025-05-06,Structural issues
203,2115,2993,2025-02-04,Minor issues
204,61,1254,2024-04-17,Move-in ready
205,760,1986,2024-11-11,Structural issues
206,1529,2872,2022-08-23,Minor issues
207,434,235,2025-03-27,Needs renovation
208,1727,2667,2023-08-12,Needs renovation
209,2597,52,2023-05-04,Excellent
210,1543,2452,2024-07-31,Excellent
211,2668,2665,2024-10-18,Minor issues
212,722,1295,2023-08-21,Move-in ready
213,142,2813,2024-06-21,Structural issues
214,1571,2513,2025-05-16,Excellent
215,301,575,2023-01-31,Needs renovation
216,1308,689,2025-05-24,Structural issues
217,2166,2238,2022-08-06,Structural issues
218,2386,2766,2022-09-09,Good condition
219,2775,2247,2025-02-09,Structural issues
220,2126,1572,2022-11-13,Good condition
221,2152,281,2024-02-06,Good condition
222,15,1886,2024-02-09,Good condition
223,1157,2441,2022-08-08,Move-in ready
224,715,837,2023-11-20,Move-in ready
225,1640,106,2024-04-12,Needs renovation
226,1696,2095,2023-05-01,Good condition
227,2080,2664,2024-04-24,Excellent
228,2288,2713,2024-02-05,Structural issues
229,1173,1070,2022-09-24,Excellent
230,858,1999,2023-03-19,Needs renovation
231,463,813,2025-03-29,Needs renovation
232,1768,2925,2024-12-26,Move-in ready
233,2025,2031,2022-10-12,Minor issues
234,871,2290,2023-05-01,Needs renovation
235,298,2930,2024-11-07,Structural issues
236,311,2802,2023-06-13,Structural issues
237,225,1247,2023-04-21,Needs renovation
238,2100,1217,2023-06-02,Move-in ready
239,986,192,2024-06-07,Structural issues
240,1921,2335,2023-02-28,Minor issues
241,1350,1540,2024-09-09,Structural issues
242,2933,1071,2025-05-09,Needs renovation
243,481,2275,2024-06-02,Good condition
244,2278,135,2025-04-22,Good condition
245,2153,1936,2023-12-21,Excellent
246,1896,681,2025-04-01,Structural issues
247,375,2923,2025-05-01,Move-in ready
248,936,430,2023-04-01,Good condition
249,654,1583,2022-12-07,Excellent
250,2536,2834,2024-02-04,Minor issues
251,1267,1588,2025-02-19,Good condition
252,890,235,2023-05-19,Needs renovation
253,2811,871,2024-02-23,Good condition
254,545,296,2025-03-03,Minor issues
255,2162,465,2025-05-14,Minor issues
256,70,1264,2022-08-27,Needs renovation
257,2881,1002,2025-05-05,Needs renovation
258,2024,1290,2023-08-16,Structural issues
259,2231,2259,2025-06-04,Good condition
260,326,2184,2022-07-03,Excellent
261,2503,684,2022-12-07,Good condition
262,1698,896,2023-03-25,Good condition
263,1072,477,2024-11-09,Minor issues
264,1410,534,2024-05-29,Minor issues
265,686,1624,2023-12-16,Good condition
266,2267,2321,2023-05-26,Good condition
267,40,2355,2022-10-14,Excellent
268,923,397,2023-07-28,Good condition
269,77,285,2023-10-22,Minor issues
270,2466,2699,2024-11-18,Needs renovation
271,1327,264,2023-11-14,Needs renovation
272,1626,2611,2023-09-28,Needs renovation
273,640,799,2024-02-14,Structural issues
274,2672,74,2022-07-29,Good condition
275,882,2714,2022-08-10,Minor issues
276,132,724,2023-08-27,Good condition
277,2318,2674,2024-12-30,Structural issues
278,373,2445,2022-10-29,Excellent
279,21,307,2023-08-31,Excellent
280,1590,2524,2025-05-22,Minor issues
281,338,2886,2024-10-03,Needs renovation
282,1651,147,2024-04-27,Minor issues
283,2029,586,2022-07-02,Minor issues
284,642,149,2023-04-21,Move-in ready
285,1157,1493,2024-10-24,Good condition
286,2852,2921,2023-09-28,Structural issues
287,2259,30,2025-01-16,Minor issues
288,839,2826,2024-05-22,Move-in ready
289,1438,937,2024-01-21,Needs renovation
290,848,1485,2024-10-16,Good condition
291,459,1648,2025-05-30,Move-in ready
292,768,1726,2022-07-30,Needs renovation
293,1334,280,2023-06-26,Good condition
294,1280,2361,2025-04-11,Excellent
295,1548,490,2024-04-17,Minor issues
296,1001,146,2024-08-17,Excellent
297,2727,306,2023-08-26,Move-in ready
298,1385,412,2024-07-11,Needs renovation
299,907,2694,2023-06-28,Needs renovation
300,121,2424,2025-01-30,Minor issues
301,1816,832,2023-06-14,Good condition
302,2403,614,2023-10-30,Excellent
303,1,1957,2023-08-28,Excellent
304,383,2613,2023-03-22,Needs renovation
305,1385,2323,2022-09-28,Move-in ready
306,2787,1719,2024-05-10,Minor issues
307,1383,979,2024-02-05,Needs renovation
308,2308,205,2025-05-05,Needs renovation
309,1573,923,2023-07-26,Move-in ready
310,2120,1483,2022-11-23,Minor issues
311,1139,822,2023-04-28,Needs renovation
312,2479,415,2024-03-20,Structural issues
313,1312,2066,2025-04-10,Good condition
314,2878,48,2023-08-29,Good condition
315,2264,1223,2024-05-19,Good condition
316,1606,581,2023-02-28,Move-in ready
317,1545,2000,2023-05-21,Excellent
318,180,379,2024-03-01,Move-in ready
319,1271,1764,2022-10-30,Structural issues
320,988,2656,2022-11-21,Good condition
321,1098,1603,2022-08-22,Excellent
322,23,73,2022-09-04,Needs renovation
323,2366,1048,2024-12-23,Move-in ready
324,1517,1478,2025-03-28,Structural issues
325,2936,2767,2024-04-04,Move-in ready
326,2944,1190,2024-12-21,Minor issues
327,1178,2634,2023-12-06,Needs renovation
328,241,401,2024-09-22,Structural issues
329,433,2645,2022-07-04,Structural issues
330,88,576,2024-05-19,Needs renovation
331,693,9,2023-06-29,Good condition
332,1538,1426,2023-08-23,Good condition
333,2458,2140,2023-11-06,Structural issues
334,2474,29,2023-08-08,Minor issues
335,65,2433,2022-07-22,Good condition
336,1994,1430,2024-10-17,Good condition
337,1870,1408,2022-10-13,Good condition
338,2370,662,2023-12-07,Minor issues
339,1891,1939,2024-03-27,Move-in ready
340,1452,86,2022-08-01,Excellent
341,1644,386,2023-01-30,Minor issues
342,2653,654,2023-07-31,Move-in ready
343,596,2760,2024-11-01,Move-in ready
344,2111,2570,2024-01-03,Excellent
345,804,2475,2024-06-11,Move-in ready
346,1767,1417,2024-07-10,Minor issues
347,2204,2607,2023-01-30,Structural issues
348,2618,2045,2022-09-08,Needs renovation
349,42,583,2025-02-01,Good condition
350,1054,2277,2022-09-12,Minor issues
351,330,123,2023-11-27,Needs renovation
352,1571,2760,2024-12-28,Excellent
353,932,1165,2022-12-06,Minor issues
354,1543,1210,2025-01-09,Good condition
355,1035,1194,2023-12-22,Needs renovation
356,2960,2912,2023-02-08,Move-in ready
357,1922,472,2022-11-21,Move-in ready
358,2385,1794,2024-10-24,Excellent
359,1381,893,2022-11-28,Good condition
360,1215,1489,2025-02-17,Structural issues
361,1509,1455,2023-04-06,Good condition
362,2294,209,2022-12-05,Good condition
363,595,2573,2023-12-20,Structural issues
364,76,1748,2025-01-16,Move-in ready
365,2387,1434,2023-09-26,Excellent
366,1928,802,2024-12-06,Excellent
367,1740,1042,2023-03-21,Needs renovation
368,1840,2818,2024-11-22,Needs renovation
369,2431,1042,2022-07-28,Needs renovation
370,1691,2578,2024-09-19,Good condition
371,156,2500,2023-02-24,Good condition
372,2317,2133,2023-03-27,Needs renovation
373,1070,1325,2023-06-24,Good condition
374,2642,2137,2022-07-25,Good condition
375,1082,2908,2025-04-29,Minor issues
376,2724,1218,2025-01-29,Minor issues
377,169,618,2024-06-01,Needs renovation
378,1714,25,2022-08-09,Minor issues
379,1211,461,2025-03-03,Minor issues
380,243,1753,2025-01-04,Good condition
381,686,711,2023-11-11,Excellent
382,696,1375,2024-02-04,Excellent
383,829,2707,2022-06-19,Move-in ready
384,329,771,2023-11-23,Excellent
385,383,1844,2024-04-10,Minor issues
386,764,765,2024-01-17,Structural issues
387,116,2360,2025-03-11,Excellent
388,1226,284,2024-10-17,Minor issues
389,1516,1090,2024-10-05,Move-in ready
390,130,395,2024-08-25,Minor issues
391,1014,1840,2023-05-14,Structural issues
392,149,1438,2024-08-12,Structural issues
393,1099,2272,2024-09-01,Needs renovation
394,2268,466,2023-12-12,Minor issues
395,770,2514,2025-05-15,Needs renovation
396,866,2503,2023-12-14,Move-in ready
397,1664,2534,2025-01-29,Move-in ready
398,424,108,2024-10-27,Structural issues
399,671,2397,2024-10-15,Minor issues
400,2670,2708,2023-08-12,Excellent
401,1778,447,2022-09-04,Needs renovation
402,250,1568,2023-03-31,Excellent
403,1583,1138,2024-10-05,Move-in ready
404,1675,1965,2024-12-27,Minor issues
405,1064,1899,2025-01-04,Structural issues
406,1457,1567,2022-11-04,Needs renovation
407,1356,196,2024-05-21,Structural issues
408,1072,1446,2025-04-27,Good condition
409,2788,319,2024-10-28,Move-in ready
410,1253,1016,2024-01-08,Structural issues
411,2378,2314,2023-11-07,Needs renovation
412,1459,1920,2025-01-14,Good condition
413,2377,2372,2024-02-04,Needs renovation
414,2108,1770,2024-06-02,Good condition
415,34,591,2023-12-25,Structural issues
416,1411,2575,2024-11-23,Excellent
417,439,1028,2023-08-19,Needs renovation
418,2166,2770,2024-01-07,Needs renovation
419,1321,2800,2024-03-30,Excellent
420,578,46,2023-03-23,Needs renovation
421,761,2755,2023-04-13,Move-in ready
422,2219,1677,2022-11-29,Excellent
423,2312,483,2022-11-23,Structural issues
424,501,2306,2022-06-25,Structural issues
425,145,1430,2023-05-26,Needs renovation
426,2172,841,2022-10-21,Structural issues
427,175,1388,2022-06-23,Needs renovation
428,62,1774,2024-10-28,Minor issues
429,899,62,2022-08-20,Move-in ready
430,2748,2218,2022-10-25,Needs renovation
431,218,930,2024-08-24,Structural issues
432,2160,1186,2022-12-26,Good condition
433,429,1765,2024-05-23,Move-in ready
434,1945,1901,2022-12-03,Minor issues
435,2427,583,2022-09-30,Move-in ready
436,2821,267,2023-07-15,Structural issues
437,2649,504,2024-10-17,Move-in ready
438,72,1346,2023-02-21,Good condition
439,2006,416,2022-11-12,Structural issues
440,1877,144,2023-11-23,Structural issues
441,1450,1987,2022-07-30,Excellent
442,1256,1427,2024-10-14,Move-in ready
443,1137,101,2022-12-24,Minor issues
444,2422,477,2025-04-06,Excellent
445,1013,2089,2023-12-11,Minor issues
446,1778,1929,2024-03-04,Needs renovation
447,2263,2636,2023-06-08,Excellent
448,1007,477,2023-06-04,Move-in ready
449,2596,1301,2024-02-04,Move-in ready
450,1527,1693,2024-09-28,Minor issues
451,1740,2492,2024-08-25,Excellent
452,2456,1892,2023-12-07,Structural issues
453,670,2307,2022-09-05,Minor issues
454,738,1676,2023-04-07,Needs renovation
455,673,2933,2024-03-31,Minor issues
456,895,686,2023-10-22,Excellent
457,936,2004,2024-08-19,Good condition
458,781,2771,2024-01-26,Move-in ready
459,2523,323,2024-08-03,Structural issues
460,2732,166,2025-03-11,Excellent
461,1676,1661,2023-06-06,Excellent
462,2799,448,2025-03-05,Excellent
463,258,2807,2024-06-28,Needs renovation
464,1263,784,2024-07-02,Good condition
465,1837,1627,2025-02-15,Structural issues
466,2671,945,2024-09-29,Needs renovation
467,2365,2077,2024-03-25,Minor issues
468,1576,2848,2024-09-13,Structural issues
469,352,2626,2023-03-27,Move-in ready
470,1768,137,2023-01-08,Excellent
471,2954,2570,2023-06-08,Good condition
472,2389,424,2024-12-01,Minor issues
473,31,656,2024-12-25,Move-in ready
474,1098,763,2024-04-21,Needs renovation
475,1753,985,2024-09-19,Minor issues
476,1026,2986,2024-10-17,Move-in ready
477,881,1895,2025-05-31,Needs renovation
478,2188,186,2023-12-18,Good condition
479,893,309,2022-10-29,Structural issues
480,1077,790,2024-02-28,Excellent
481,308,772,2024-07-29,Excellent
482,2761,1973,2023-02-14,Move-in ready
483,489,1792,2024-05-10,Move-in ready
484,2301,586,2025-03-05,Minor issues
485,510,268,2024-09-05,Good condition
486,1176,1890,2024-04-22,Minor issues
487,699,104,2023-11-19,Minor issues
488,840,1046,2025-05-23,Minor issues
489,2207,1973,2024-03-22,Needs renovation
490,1409,1279,2022-09-29,Good condition
491,1150,1326,2024-10-16,Excellent
492,1711,1251,2022-10-22,Minor issues
493,795,264,2025-03-19,Move-in ready
494,401,1624,2022-10-02,Structural issues
495,2187,1339,2024-12-22,Structural issues
496,722,1657,2025-02-18,Minor issues
497,948,1940,2025-03-14,Move-in ready
498,2975,78,2023-11-14,Good condition
499,2235,2651,2024-03-13,Structural issues
500,2476,1100,2024-04-30,Needs renovation
501,2248,797,2022-10-04,Good condition
502,511,1222,2022-08-03,Structural issues
503,2736,1499,2023-07-12,Minor issues
504,2078,427,2022-09-06,Minor issues
505,1530,1776,2022-07-11,Good condition
506,2127,2169,2024-03-09,Good condition
507,2777,1084,2025-03-30,Good condition
508,2082,2801,2024-05-24,Structural issues
509,155,2749,2022-09-13,Needs renovation
510,1153,1165,2024-02-10,Minor issues
511,2932,757,2023-01-20,Structural issues
512,2159,699,2025-05-31,Minor issues
513,269,1915,2024-07-21,Needs renovation
514,1075,2837,2022-07-24,Minor issues
515,140,2233,2024-01-25,Minor issues
516,892,1778,2023-03-03,Needs renovation
517,321,1073,2022-10-15,Structural issues
518,800,2825,2023-05-30,Good condition
519,2115,350,2025-05-25,Needs renovation
520,1850,548,2022-12-07,Needs renovation
521,2415,826,2024-07-11,Structural issues
522,29,1252,2024-08-03,Excellent
523,28,2663,2022-09-16,Needs renovation
524,14,2631,2025-04-19,Structural issues
525,942,1136,2023-11-18,Structural issues
526,459,2681,2024-08-11,Good condition
527,1646,1173,2025-05-04,Minor issues
528,1690,1045,2025-03-21,Structural issues
529,758,2972,2022-09-18,Minor issues
530,810,2298,2023-01-03,Move-in ready
531,1668,2274,2022-06-26,Good condition
532,834,958,2025-05-11,Move-in ready
533,1946,2659,2024-03-29,Needs renovation
534,2862,661,2022-08-22,Move-in ready
535,1997,2850,2024-11-17,Structural issues
536,423,2287,2022-07-09,Good condition
537,1491,1415,2025-04-06,Needs renovation
538,2700,2375,2022-09-06,Needs renovation
539,1496,2820,2022-12-13,Structural issues
540,2192,1021,2023-12-01,Good condition
541,717,362,2025-01-15,Needs renovation
542,1629,1994,2024-07-23,Good condition
543,1672,211,2025-03-19,Move-in ready
544,977,1001,2024-07-11,Structural issues
545,1274,298,2024-04-07,Move-in ready
546,1940,2135,2024-10-16,Minor issues
547,1654,55,2024-08-20,Needs renovation
548,2093,2020,2025-05-12,Excellent
549,2449,59,2024-12-30,Minor issues
550,655,1695,2024-07-23,Move-in ready
551,2809,1028,2023-10-24,Structural issues
552,2085,291,2024-04-27,Good condition
553,1387,2847,2024-04-13,Good condition
554,1017,2408,2022-07-06,Good condition
555,1710,1970,2024-09-13,Structural issues
556,306,712,2023-05-01,Structural issues
557,2092,2742,2024-12-14,Needs renovation
558,1820,2497,2024-03-22,Move-in ready
559,907,2465,2024-05-07,Move-in ready
560,2213,1348,2025-03-17,Move-in ready
561,2324,915,2024-06-10,Good condition
562,2279,636,2024-12-25,Needs renovation
563,1836,2648,2024-01-20,Structural issues
564,395,1122,2025-06-13,Minor issues
565,2344,1427,2025-01-20,Needs renovation
566,2432,1298,2022-07-04,Needs renovation
567,1728,2417,2023-08-28,Structural issues
568,2987,609,2023-08-27,Needs renovation
569,715,176,2024-09-23,Minor issues
570,686,2591,2022-09-05,Excellent
571,2096,1698,2025-05-15,Good condition
572,2782,351,2025-03-01,Excellent
573,1769,2753,2022-07-28,Needs renovation
574,947,213,2024-11-08,Move-in ready
575,1593,2042,2022-11-09,Structural issues
576,121,265,2022-09-03,Move-in ready
577,2360,1145,2025-04-17,Minor issues
578,2013,154,2023-04-26,Good condition
579,1135,2883,2022-12-10,Good condition
580,617,2300,2025-03-06,Good condition
581,1046,1208,2023-11-06,Minor issues
582,431,650,2024-03-17,Good condition
583,2302,826,2024-01-24,Minor issues
584,525,1168,2022-09-05,Structural issues
585,1829,1260,2024-06-11,Structural issues
586,1351,1650,2022-12-12,Needs renovation
587,877,1838,2025-02-10,Structural issues
588,2649,2279,2023-05-20,Minor issues
589,2878,288,2024-11-11,Minor issues
590,907,533,2022-11-25,Minor issues
591,1881,1669,2023-04-09,Good condition
592,2882,1704,2022-12-16,Needs renovation
593,2504,2664,2023-06-26,Move-in ready
594,1360,2624,2022-12-04,Good condition
595,2892,984,2022-07-23,Minor issues
596,2283,2331,2024-12-25,Structural issues
597,202,1748,2024-09-13,Excellent
598,1944,1196,2022-12-22,Good condition
599,2860,1692,2022-11-18,Structural issues
600,2248,1029,2022-09-24,Move-in ready
601,899,1701,2023-11-09,Minor issues
602,2902,999,2025-02-25,Move-in ready
603,1011,1949,2023-11-06,Move-in ready
604,1522,1706,2024-01-01,Good condition
605,2078,1116,2024-06-27,Excellent
606,907,1404,2023-08-19,Minor issues
607,1856,1973,2024-02-10,Move-in ready
608,2032,2149,2024-09-02,Excellent
609,2306,566,2025-02-19,Move-in ready
610,2497,1133,2023-05-12,Excellent
611,2069,958,2024-05-19,Minor issues
612,302,2195,2023-07-03,Move-in ready
613,2102,2859,2024-10-05,Needs renovation
614,1802,1195,2022-08-31,Excellent
615,2218,2317,2025-05-26,Needs renovation
616,779,2538,2023-07-28,Minor issues
617,154,1156,2024-07-30,Needs renovation
618,1101,1094,2022-12-06,Excellent
619,18,748,2025-01-08,Excellent
620,1598,2034,2024-07-04,Move-in ready
621,255,637,2025-05-25,Good condition
622,1964,2118,2023-04-03,Needs renovation
623,2531,1364,2023-01-07,Structural issues
624,2275,2239,2023-11-26,Good condition
625,1631,445,2023-07-23,Move-in ready
626,14,960,2023-08-14,Minor issues
627,2953,1684,2023-03-25,Needs renovation
628,663,2413,2025-01-11,Excellent
629,11,913,2025-03-05,Structural issues
630,2975,127,2023-06-15,Excellent
631,877,2011,2022-09-15,Excellent
632,369,2561,2024-09-15,Needs renovation
633,1791,2503,2023-03-12,Structural issues
634,40,2100,2023-04-20,Move-in ready
635,1538,1306,2023-08-27,Excellent
636,493,63,2024-07-29,Structural issues
637,1693,417,2022-07-07,Structural issues
638,2432,1895,2025-03-15,Good condition
639,2032,2972,2022-10-01,Move-in ready
640,2058,848,2024-09-29,Structural issues
641,847,2779,2022-09-23,Good condition
642,963,524,2022-07-31,Structural issues
643,1246,133,2022-10-26,Needs renovation
644,2770,1930,2025-02-20,Excellent
645,2409,1192,2024-02-15,Needs renovation
646,1471,176,2024-04-30,Good condition
647,1653,1530,2022-07-11,Minor issues
648,1493,1495,2023-09-14,Excellent
649,1945,1235,2023-02-28,Structural issues
650,1549,870,2023-06-27,Move-in ready
651,609,2275,2025-02-08,Good condition
652,45,2808,2024-06-30,Move-in ready
653,2030,2743,2023-07-12,Move-in ready
654,14,1397,2023-11-19,Minor issues
655,243,1382,2023-04-14,Excellent
656,1962,861,2024-10-07,Structural issues
657,2938,2563,2024-06-12,Excellent
658,475,209,2024-02-10,Structural issues
659,1658,28,2023-12-10,Good condition
660,1768,1555,2022-12-17,Good condition
661,1672,2761,2025-05-06,Good condition
662,2704,1405,2023-09-22,Needs renovation
663,325,1805,2023-08-06,Minor issues
664,1663,86,2022-12-19,Move-in ready
665,674,1202,2025-01-29,Excellent
666,2842,1535,2022-09-11,Minor issues
667,2461,1897,2023-01-20,Move-in ready
668,2417,375,2022-12-30,Structural issues
669,347,1202,2022-09-22,Needs renovation
670,943,2829,2023-06-10,Minor issues
671,2539,1850,2023-06-08,Excellent
672,1877,1362,2022-08-29,Excellent
673,1077,1611,2024-12-08,Good condition
674,1575,2280,2022-12-04,Needs renovation
675,1100,740,2024-05-20,Minor issues
676,88,1527,2023-07-06,Needs renovation
677,965,2150,2023-03-30,Structural issues
678,645,2580,2023-08-21,Excellent
679,2491,2886,2024-08-09,Structural issues
680,1783,2411,2022-07-15,Minor issues
681,1545,2974,2025-04-29,Good condition
682,2240,2885,2024-12-19,Move-in ready
683,2808,473,2024-10-13,Structural issues
684,1910,1312,2024-04-30,Structural issues
685,2278,149,2022-06-27,Excellent
